File: tarutil.test
Build ID: d7447a1c7c8916ad9b2e608e21a3f4b341db44be
Type: cpu
Time: 2026-09-18 03:26:38 UTC
Duration: 155.21ms, Total samples = 80ms (51.54%)
Showing nodes accounting for 80ms, 100% of 80ms total
Showing top 30 nodes out of 62
      flat  flat%   sum%        cum   cum%
      70ms 87.50% 87.50%       70ms 87.50%  internal/runtime/syscall/linux.Syscall6
      10ms 12.50%   100%       10ms 12.50%  runtime.concatstrings
         0     0%   100%       10ms 12.50%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkCreate
         0     0%   100%       60ms 75.00%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkExtract
         0     0%   100%       10ms 12.50%  github.com/agent-substrate/substrate/internal/tarutil.Create (inline)
         0     0%   100%       10ms 12.50%  github.com/agent-substrate/substrate/internal/tarutil.CreateFiltered
         0     0%   100%       30ms 37.50%  github.com/agent-substrate/substrate/internal/tarutil.Extract
         0     0%   100%       10ms 12.50%  github.com/agent-substrate/substrate/internal/tarutil.copyPooled
         0     0%   100%       30ms 37.50%  github.com/agent-substrate/substrate/internal/tarutil.extractEntry
         0     0%   100%       10ms 12.50%  github.com/agent-substrate/substrate/internal/tarutil.restoreMeta
         0     0%   100%       10ms 12.50%  github.com/agent-substrate/substrate/internal/tarutil.writeTree
         0     0%   100%       10ms 12.50%  github.com/agent-substrate/substrate/internal/tarutil.writeTree.func1
         0     0%   100%       10ms 12.50%  internal/poll.(*FD).Write
         0     0%   100%       10ms 12.50%  internal/poll.ignoringEINTRIO (inline)
         0     0%   100%       10ms 12.50%  internal/syscall/unix.Openat
         0     0%   100%       30ms 37.50%  internal/syscall/unix.Unlinkat
         0     0%   100%       10ms 12.50%  io.CopyBuffer
         0     0%   100%       10ms 12.50%  io.copyBuffer
         0     0%   100%       10ms 12.50%  os.(*File).Write
         0     0%   100%       10ms 12.50%  os.(*File).write (inline)
         0     0%   100%       10ms 12.50%  os.(*Root).Chtimes (inline)
         0     0%   100%       10ms 12.50%  os.(*Root).OpenFile
         0     0%   100%       10ms 12.50%  os.(*unixDirent).Info
         0     0%   100%       10ms 12.50%  os.OpenFile
         0     0%   100%       30ms 37.50%  os.RemoveAll (inline)
         0     0%   100%       10ms 12.50%  os.WriteFile
         0     0%   100%       10ms 12.50%  os.doInRoot[go.shape.int]
         0     0%   100%       10ms 12.50%  os.doInRoot[go.shape.struct {}]
         0     0%   100%       10ms 12.50%  os.doInRoot[go.shape.struct {}].func1
         0     0%   100%       50ms 62.50%  os.ignoringEINTR (inline)
