File: ategcs.test
Build ID: 9d0bdbc564774c21f275753f2b9c9be896907afb
Type: cpu
Time: 2026-09-18 04:22:52 UTC
Duration: 418.85ms, Total samples = 350ms (83.56%)
Showing nodes accounting for 350ms, 100% of 350ms total
Showing top 30 nodes out of 92
      flat  flat%   sum%        cum   cum%
     160ms 45.71% 45.71%      160ms 45.71%  internal/runtime/syscall/linux.Syscall6
      50ms 14.29% 60.00%       50ms 14.29%  runtime.memmove
      40ms 11.43% 71.43%       40ms 11.43%  github.com/klauspost/compress/zstd.sequenceDecs_decodeSync_safe_bmi2
      30ms  8.57% 80.00%       30ms  8.57%  github.com/klauspost/compress/zstd/internal/xxhash.writeBlocks
      30ms  8.57% 88.57%       30ms  8.57%  runtime.memclrNoHeapPointers
      10ms  2.86% 91.43%       60ms 17.14%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.writeSparseSourceTB
      10ms  2.86% 94.29%       10ms  2.86%  runtime.getpid
      10ms  2.86% 97.14%       10ms  2.86%  runtime.itabAdd
      10ms  2.86%   100%       10ms  2.86%  slices.Max[go.shape.[]uint32,go.shape.uint32] (inline)
         0     0%   100%       30ms  8.57%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.(*parZstd).Write
         0     0%   100%       70ms 20.00%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.(*parZstd).worker
         0     0%   100%      160ms 45.71%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.BenchmarkReadSparseZstd
         0     0%   100%      100ms 28.57%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.BenchmarkWriteSparseZstd
         0     0%   100%       10ms  2.86%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.init.func1
         0     0%   100%       10ms  2.86%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.newParZstd
         0     0%   100%      120ms 34.29%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.readSparseZstd
         0     0%   100%       80ms 22.86%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.writeSparseZstd
         0     0%   100%       40ms 11.43%  github.com/klauspost/compress/zstd.(*Decoder).Read
         0     0%   100%       10ms  2.86%  github.com/klauspost/compress/zstd.(*Decoder).Reset
         0     0%   100%       40ms 11.43%  github.com/klauspost/compress/zstd.(*Decoder).nextBlock
         0     0%   100%       40ms 11.43%  github.com/klauspost/compress/zstd.(*Decoder).nextBlockSync
         0     0%   100%       70ms 20.00%  github.com/klauspost/compress/zstd.(*Encoder).EncodeAll
         0     0%   100%       70ms 20.00%  github.com/klauspost/compress/zstd.(*Encoder).encodeAll
         0     0%   100%       40ms 11.43%  github.com/klauspost/compress/zstd.(*blockDec).decodeBuf
         0     0%   100%       40ms 11.43%  github.com/klauspost/compress/zstd.(*blockDec).decodeCompressed
         0     0%   100%       10ms  2.86%  github.com/klauspost/compress/zstd.(*blockEnc).encode
         0     0%   100%       10ms  2.86%  github.com/klauspost/compress/zstd.(*blockEnc).genCodes
         0     0%   100%       30ms  8.57%  github.com/klauspost/compress/zstd.(*fastBase).addBlock
         0     0%   100%       10ms  2.86%  github.com/klauspost/compress/zstd.(*fastBase).ensureHist (inline)
         0     0%   100%       30ms  8.57%  github.com/klauspost/compress/zstd.(*fastEncoder).Encode
