File: tarutil.test
Build ID: b24c9837dc83547383092199b43eb8c30cb1bf93
Type: cpu
Time: 2026-09-18 04:22:53 UTC
Duration: 135.38ms, Total samples = 100ms (73.86%)
Showing nodes accounting for 100ms, 100% of 100ms total
Showing top 30 nodes out of 72
      flat  flat%   sum%        cum   cum%
      90ms 90.00% 90.00%       90ms 90.00%  internal/runtime/syscall/linux.Syscall6
      10ms 10.00%   100%       10ms 10.00%  indexbytebody
         0     0%   100%       10ms 10.00%  archive/tar.(*Reader).Next
         0     0%   100%       10ms 10.00%  archive/tar.(*Reader).next
         0     0%   100%       10ms 10.00%  archive/tar.(*Reader).readHeader
         0     0%   100%       10ms 10.00%  archive/tar.(*block).getFormat
         0     0%   100%       10ms 10.00%  archive/tar.(*parser).parseOctal
         0     0%   100%       10ms 10.00%  archive/tar.(*parser).parseString
         0     0%   100%       10ms 10.00%  bytes.IndexByte (inline)
         0     0%   100%       30ms 30.00%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkCreate
         0     0%   100%       70ms 70.00%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkExtract
         0     0%   100%       10ms 10.00%  github.com/agent-substrate/substrate/internal/tarutil.Create (inline)
         0     0%   100%       10ms 10.00%  github.com/agent-substrate/substrate/internal/tarutil.CreateFiltered
         0     0%   100%       40ms 40.00%  github.com/agent-substrate/substrate/internal/tarutil.Extract
         0     0%   100%       10ms 10.00%  github.com/agent-substrate/substrate/internal/tarutil.copyFileInto
         0     0%   100%       10ms 10.00%  github.com/agent-substrate/substrate/internal/tarutil.copyPooled
         0     0%   100%       20ms 20.00%  github.com/agent-substrate/substrate/internal/tarutil.extractEntry
         0     0%   100%       10ms 10.00%  github.com/agent-substrate/substrate/internal/tarutil.lchownEntry
         0     0%   100%       10ms 10.00%  github.com/agent-substrate/substrate/internal/tarutil.restoreDirMeta
         0     0%   100%       10ms 10.00%  github.com/agent-substrate/substrate/internal/tarutil.restoreMeta
         0     0%   100%       10ms 10.00%  github.com/agent-substrate/substrate/internal/tarutil.writeTree
         0     0%   100%       10ms 10.00%  github.com/agent-substrate/substrate/internal/tarutil.writeTree.func1
         0     0%   100%       10ms 10.00%  internal/poll.(*FD).Init
         0     0%   100%       10ms 10.00%  internal/poll.(*FD).Write
         0     0%   100%       10ms 10.00%  internal/poll.(*pollDesc).init
         0     0%   100%       10ms 10.00%  internal/poll.ignoringEINTRIO (inline)
         0     0%   100%       10ms 10.00%  internal/poll.runtime_pollOpen
         0     0%   100%       10ms 10.00%  internal/runtime/syscall/linux.EpollCtl (inline)
         0     0%   100%       10ms 10.00%  internal/syscall/unix.Fchownat
         0     0%   100%       10ms 10.00%  internal/syscall/unix.Openat
