File: ategcs.test
Build ID: 92f99285da68b29cb2bd9621e8641049ad70f057
Type: cpu
Time: 2026-09-18 05:08:41 UTC
Duration: 411.26ms, Total samples = 350ms (85.10%)
Showing nodes accounting for 350ms, 100% of 350ms total
Showing top 30 nodes out of 95
      flat  flat%   sum%        cum   cum%
      90ms 25.71% 25.71%       90ms 25.71%  internal/runtime/syscall/linux.Syscall6
      90ms 25.71% 51.43%       90ms 25.71%  runtime.memmove
      50ms 14.29% 65.71%       50ms 14.29%  runtime.memclrNoHeapPointers
      30ms  8.57% 74.29%       60ms 17.14%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.writeSparseSourceTB
      30ms  8.57% 82.86%       30ms  8.57%  github.com/klauspost/compress/zstd.sequenceDecs_decodeSync_safe_bmi2
      20ms  5.71% 88.57%       20ms  5.71%  github.com/klauspost/compress/zstd/internal/xxhash.writeBlocks
      10ms  2.86% 91.43%      110ms 31.43%  github.com/klauspost/compress/zstd.(*Encoder).encodeAll
      10ms  2.86% 94.29%       10ms  2.86%  github.com/klauspost/compress/zstd.matchLen
      10ms  2.86% 97.14%       10ms  2.86%  runtime.scanObject
      10ms  2.86%   100%       10ms  2.86%  runtime.scanblock
         0     0%   100%       10ms  2.86%  encoding/binary.Read
         0     0%   100%       30ms  8.57%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.(*parZstd).Write
         0     0%   100%      110ms 31.43%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.(*parZstd).worker
         0     0%   100%      160ms 45.71%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.BenchmarkReadSparseZstd
         0     0%   100%       70ms 20.00%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.BenchmarkWriteSparseZstd
         0     0%   100%       20ms  5.71%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.init.func1
         0     0%   100%       20ms  5.71%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.newParZstd
         0     0%   100%       90ms 25.71%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.readSparseZstd
         0     0%   100%       60ms 17.14%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.writeSparseZstd
         0     0%   100%       50ms 14.29%  github.com/klauspost/compress/zstd.(*Decoder).Read
         0     0%   100%       50ms 14.29%  github.com/klauspost/compress/zstd.(*Decoder).nextBlock
         0     0%   100%       50ms 14.29%  github.com/klauspost/compress/zstd.(*Decoder).nextBlockSync
         0     0%   100%      110ms 31.43%  github.com/klauspost/compress/zstd.(*Encoder).EncodeAll
         0     0%   100%       30ms  8.57%  github.com/klauspost/compress/zstd.(*blockDec).decodeBuf
         0     0%   100%       30ms  8.57%  github.com/klauspost/compress/zstd.(*blockDec).decodeCompressed
         0     0%   100%       70ms 20.00%  github.com/klauspost/compress/zstd.(*fastBase).addBlock
         0     0%   100%       10ms  2.86%  github.com/klauspost/compress/zstd.(*fastBase).ensureHist (inline)
         0     0%   100%       10ms  2.86%  github.com/klauspost/compress/zstd.(*fastBase).matchlen (inline)
         0     0%   100%       10ms  2.86%  github.com/klauspost/compress/zstd.(*fastBase).resetBase
         0     0%   100%       80ms 22.86%  github.com/klauspost/compress/zstd.(*fastEncoder).Encode
