File: tarutil.test
Build ID: 9f1e870dd5d4296f097fc51a022d598a1d919ab4
Type: alloc_space
Time: 2026-09-18 05:08:47 UTC
Showing nodes accounting for 9558.47kB, 100% of 9558.47kB total
Showing top 30 nodes out of 94
      flat  flat%   sum%        cum   cum%
 1184.27kB 12.39% 12.39%  1184.27kB 12.39%  runtime/pprof.StartCPUProfile
 1024.12kB 10.71% 23.10%  1024.12kB 10.71%  os.readlinkat
 1024.09kB 10.71% 33.82%  1024.09kB 10.71%  os.newFile
  688.56kB  7.20% 41.02%   688.56kB  7.20%  compress/flate.(*fastGen).addBlock
  516.01kB  5.40% 46.42%   516.01kB  5.40%  io.init.func1
     513kB  5.37% 51.79%      513kB  5.37%  runtime.mallocgc
  512.10kB  5.36% 57.14%   512.10kB  5.36%  os.lstatNolog
  512.10kB  5.36% 62.50%   512.10kB  5.36%  os.statNolog
  512.08kB  5.36% 67.86%   512.08kB  5.36%  compress/gzip.NewWriterLevel
  512.03kB  5.36% 73.22%   512.03kB  5.36%  golang.org/x/sys/unix.ByteSliceFromString
  512.03kB  5.36% 78.57%  1024.13kB 10.71%  os.(*unixDirent).Info
  512.03kB  5.36% 83.93%   512.03kB  5.36%  os.newUnixDirent
  512.02kB  5.36% 89.29%   512.02kB  5.36%  os.splitPathInRoot
  512.01kB  5.36% 94.64%   512.01kB  5.36%  archive/tar.(*Writer).writeRawHeader
  512.01kB  5.36%   100%   512.01kB  5.36%  internal/strconv.formatBits
         0     0%   100%   516.01kB  5.40%  archive/tar.(*Reader).Next
         0     0%   100%   516.01kB  5.40%  archive/tar.(*Reader).next
         0     0%   100%  1024.02kB 10.71%  archive/tar.(*Writer).WriteHeader
         0     0%   100%   512.01kB  5.36%  archive/tar.(*Writer).templateV7Plus
         0     0%   100%  1024.02kB 10.71%  archive/tar.(*Writer).writeUSTARHeader
         0     0%   100%   512.01kB  5.36%  archive/tar.(*formatter).formatOctal
         0     0%   100%   516.01kB  5.40%  archive/tar.discard
         0     0%   100%   688.56kB  7.20%  compress/flate.(*Writer).Close (inline)
         0     0%   100%   688.56kB  7.20%  compress/flate.(*compressor).close
         0     0%   100%   688.56kB  7.20%  compress/flate.(*compressor).deflateFast
         0     0%   100%   688.56kB  7.20%  compress/flate.(*fastEncL1).encode
         0     0%   100%   688.56kB  7.20%  compress/gzip.(*Writer).Close
         0     0%   100%  2048.12kB 21.43%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkCreate
         0     0%   100%  4612.44kB 48.26%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkExtract
         0     0%   100%  3584.26kB 37.50%  github.com/agent-substrate/substrate/internal/tarutil.Create (inline)
