File: ategcs.test
Build ID: 0ce1bd45ce73c2c4e3600154c336bf6d4f85229d
Type: cpu
Time: 2026-09-18 13:58:54 UTC
Duration: 395.65ms, Total samples = 350ms (88.46%)
Showing nodes accounting for 350ms, 100% of 350ms total
Showing top 30 nodes out of 92
      flat  flat%   sum%        cum   cum%
     160ms 45.71% 45.71%      160ms 45.71%  internal/runtime/syscall/linux.Syscall6
      90ms 25.71% 71.43%       90ms 25.71%  runtime.memmove
      30ms  8.57% 80.00%       30ms  8.57%  runtime.memclrNoHeapPointers
      20ms  5.71% 85.71%       70ms 20.00%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.writeSparseSourceTB
      20ms  5.71% 91.43%       20ms  5.71%  github.com/klauspost/compress/zstd.sequenceDecs_decodeSync_safe_bmi2
      10ms  2.86% 94.29%       10ms  2.86%  github.com/klauspost/compress/zstd/internal/xxhash.writeBlocks
      10ms  2.86% 97.14%       10ms  2.86%  runtime.(*sweepLocked).sweep
      10ms  2.86%   100%       10ms  2.86%  runtime.typePointers.next
         0     0%   100%       10ms  2.86%  encoding/binary.Read
         0     0%   100%       30ms  8.57%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.(*parZstd).Write
         0     0%   100%       70ms 20.00%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.(*parZstd).worker
         0     0%   100%      170ms 48.57%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.BenchmarkReadSparseZstd
         0     0%   100%       80ms 22.86%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.BenchmarkWriteSparseZstd
         0     0%   100%       10ms  2.86%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.init.func1
         0     0%   100%       10ms  2.86%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.newParZstd
         0     0%   100%      120ms 34.29%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.readSparseZstd
         0     0%   100%       60ms 17.14%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.writeSparseZstd
         0     0%   100%       40ms 11.43%  github.com/klauspost/compress/zstd.(*Decoder).Read
         0     0%   100%       40ms 11.43%  github.com/klauspost/compress/zstd.(*Decoder).nextBlock
         0     0%   100%       40ms 11.43%  github.com/klauspost/compress/zstd.(*Decoder).nextBlockSync
         0     0%   100%       70ms 20.00%  github.com/klauspost/compress/zstd.(*Encoder).EncodeAll
         0     0%   100%       70ms 20.00%  github.com/klauspost/compress/zstd.(*Encoder).encodeAll
         0     0%   100%       20ms  5.71%  github.com/klauspost/compress/zstd.(*blockDec).decodeBuf
         0     0%   100%       20ms  5.71%  github.com/klauspost/compress/zstd.(*blockDec).decodeCompressed
         0     0%   100%       70ms 20.00%  github.com/klauspost/compress/zstd.(*fastBase).addBlock
         0     0%   100%       10ms  2.86%  github.com/klauspost/compress/zstd.(*fastBase).ensureHist (inline)
         0     0%   100%       70ms 20.00%  github.com/klauspost/compress/zstd.(*fastEncoder).Encode
         0     0%   100%       10ms  2.86%  github.com/klauspost/compress/zstd.(*history).ensureBlock (inline)
         0     0%   100%       20ms  5.71%  github.com/klauspost/compress/zstd.(*sequenceDecs).decodeSync
         0     0%   100%       20ms  5.71%  github.com/klauspost/compress/zstd.(*sequenceDecs).decodeSyncSimple
