File: ategcs.test
Build ID: 2acb4256e6b840a19a4d06dfcc3f0f26ba772f4e
Type: cpu
Time: 2026-09-18 14:03:32 UTC
Duration: 417.60ms, Total samples = 350ms (83.81%)
Showing nodes accounting for 350ms, 100% of 350ms total
Showing top 30 nodes out of 105
      flat  flat%   sum%        cum   cum%
     110ms 31.43% 31.43%      110ms 31.43%  internal/runtime/syscall/linux.Syscall6
      80ms 22.86% 54.29%       80ms 22.86%  runtime.memmove
      60ms 17.14% 71.43%       60ms 17.14%  github.com/klauspost/compress/zstd.sequenceDecs_decodeSync_safe_bmi2
      20ms  5.71% 77.14%       70ms 20.00%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.writeSparseSourceTB
      20ms  5.71% 82.86%       20ms  5.71%  github.com/klauspost/compress/zstd.matchLen
      20ms  5.71% 88.57%       20ms  5.71%  github.com/klauspost/compress/zstd/internal/xxhash.writeBlocks
      10ms  2.86% 91.43%       10ms  2.86%  internal/runtime/gc/scan.scanSpanPackedAVX512
      10ms  2.86% 94.29%       10ms  2.86%  runtime.(*sweepLocked).sweep
      10ms  2.86% 97.14%       10ms  2.86%  runtime.memclrNoHeapPointers
      10ms  2.86%   100%       10ms  2.86%  runtime.tryDeferToSpanScan
         0     0%   100%       50ms 14.29%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.(*parZstd).Write
         0     0%   100%       70ms 20.00%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.(*parZstd).worker
         0     0%   100%      160ms 45.71%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.BenchmarkReadSparseZstd
         0     0%   100%       90ms 25.71%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.BenchmarkWriteSparseZstd
         0     0%   100%      120ms 34.29%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.readSparseZstd
         0     0%   100%       60ms 17.14%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.writeSparseZstd
         0     0%   100%       70ms 20.00%  github.com/klauspost/compress/zstd.(*Decoder).Read
         0     0%   100%       70ms 20.00%  github.com/klauspost/compress/zstd.(*Decoder).nextBlock
         0     0%   100%       70ms 20.00%  github.com/klauspost/compress/zstd.(*Decoder).nextBlockSync
         0     0%   100%       70ms 20.00%  github.com/klauspost/compress/zstd.(*Encoder).EncodeAll
         0     0%   100%       70ms 20.00%  github.com/klauspost/compress/zstd.(*Encoder).encodeAll
         0     0%   100%       60ms 17.14%  github.com/klauspost/compress/zstd.(*blockDec).decodeBuf
         0     0%   100%       60ms 17.14%  github.com/klauspost/compress/zstd.(*blockDec).decodeCompressed
         0     0%   100%       10ms  2.86%  github.com/klauspost/compress/zstd.(*blockEnc).init
         0     0%   100%       30ms  8.57%  github.com/klauspost/compress/zstd.(*fastBase).addBlock
         0     0%   100%       20ms  5.71%  github.com/klauspost/compress/zstd.(*fastBase).matchlen (inline)
         0     0%   100%       10ms  2.86%  github.com/klauspost/compress/zstd.(*fastBase).resetBase
         0     0%   100%       50ms 14.29%  github.com/klauspost/compress/zstd.(*fastEncoder).Encode
         0     0%   100%       10ms  2.86%  github.com/klauspost/compress/zstd.(*fastEncoder).Reset
         0     0%   100%       60ms 17.14%  github.com/klauspost/compress/zstd.(*sequenceDecs).decodeSync
