File: tarutil.test
Build ID: 5c7eea3494404485ed013c3a44cbccf26deeeec6
Type: cpu
Time: 2026-09-18 14:03:34 UTC
Duration: 148.65ms, Total samples = 90ms (60.54%)
Showing nodes accounting for 90ms, 100% of 90ms total
Showing top 30 nodes out of 74
      flat  flat%   sum%        cum   cum%
      70ms 77.78% 77.78%       70ms 77.78%  internal/runtime/syscall/linux.Syscall6
      10ms 11.11% 88.89%       10ms 11.11%  runtime.findRunnable
      10ms 11.11%   100%       10ms 11.11%  runtime.memclrNoHeapPointers
         0     0%   100%       10ms 11.11%  archive/tar.FileInfoHeader
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.(*writerOnly).Write
         0     0%   100%       20ms 22.22%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkCreate
         0     0%   100%       50ms 55.56%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkExtract
         0     0%   100%       20ms 22.22%  github.com/agent-substrate/substrate/internal/tarutil.Create (inline)
         0     0%   100%       20ms 22.22%  github.com/agent-substrate/substrate/internal/tarutil.CreateFiltered
         0     0%   100%       30ms 33.33%  github.com/agent-substrate/substrate/internal/tarutil.Extract
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.copyPooled
         0     0%   100%       30ms 33.33%  github.com/agent-substrate/substrate/internal/tarutil.extractEntry
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.readOverlayXattrs
         0     0%   100%       20ms 22.22%  github.com/agent-substrate/substrate/internal/tarutil.writeTree
         0     0%   100%       20ms 22.22%  github.com/agent-substrate/substrate/internal/tarutil.writeTree.func1
         0     0%   100%       10ms 11.11%  golang.org/x/sys/unix.Llistxattr
         0     0%   100%       20ms 22.22%  internal/poll.(*FD).Write
         0     0%   100%       20ms 22.22%  internal/poll.ignoringEINTRIO (inline)
         0     0%   100%       10ms 11.11%  internal/syscall/unix.Mkdirat
         0     0%   100%       10ms 11.11%  internal/syscall/unix.Openat
         0     0%   100%       10ms 11.11%  internal/syscall/unix.Unlinkat
         0     0%   100%       10ms 11.11%  io.CopyBuffer
         0     0%   100%       10ms 11.11%  io.copyBuffer
         0     0%   100%       20ms 22.22%  os.(*File).Write
         0     0%   100%       20ms 22.22%  os.(*File).write (inline)
         0     0%   100%       10ms 11.11%  os.(*Root).Mkdir
         0     0%   100%       10ms 11.11%  os.(*Root).OpenFile
         0     0%   100%       10ms 11.11%  os.Mkdir (inline)
         0     0%   100%       10ms 11.11%  os.Mkdir.func1 (inline)
         0     0%   100%       10ms 11.11%  os.MkdirAll
