File: tarutil.test
Build ID: a7e4acebebe9548735d5c2f02dc81e856eb6451d
Type: cpu
Time: 2026-09-18 14:06:00 UTC
Duration: 147.24ms, Total samples = 90ms (61.13%)
Showing nodes accounting for 90ms, 100% of 90ms total
Showing top 30 nodes out of 60
      flat  flat%   sum%        cum   cum%
      70ms 77.78% 77.78%       70ms 77.78%  internal/runtime/syscall/linux.Syscall6
      10ms 11.11% 88.89%       10ms 11.11%  internal/runtime/atomic.(*Uint32).CompareAndSwap (inline)
      10ms 11.11%   100%       50ms 55.56%  syscall.Syscall
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkCreate
         0     0%   100%       60ms 66.67%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkExtract
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.Create (inline)
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.CreateFiltered
         0     0%   100%       50ms 55.56%  github.com/agent-substrate/substrate/internal/tarutil.Extract
         0     0%   100%       50ms 55.56%  github.com/agent-substrate/substrate/internal/tarutil.extractEntry
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.lchownEntry
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.replaceExisting
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.restoreMeta
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.writeTree
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.writeTree.func1
         0     0%   100%       30ms 33.33%  internal/syscall/unix.Openat
         0     0%   100%       20ms 22.22%  internal/syscall/unix.Unlinkat
         0     0%   100%       10ms 11.11%  os.(*Root).Lchown (inline)
         0     0%   100%       10ms 11.11%  os.(*Root).Lstat
         0     0%   100%       30ms 33.33%  os.(*Root).OpenFile
         0     0%   100%       10ms 11.11%  os.(*unixDirent).Info
         0     0%   100%       10ms 11.11%  os.Lstat
         0     0%   100%       10ms 11.11%  os.Mkdir (inline)
         0     0%   100%       10ms 11.11%  os.Mkdir.func1 (inline)
         0     0%   100%       10ms 11.11%  os.MkdirAll
         0     0%   100%       20ms 22.22%  os.RemoveAll
         0     0%   100%       30ms 33.33%  os.doInRoot[go.shape.int]
         0     0%   100%       10ms 11.11%  os.doInRoot[go.shape.interface { IsDir bool; ModTime time.Time; Mode io/fs.FileMode; Name string; Size int64; Sys interface {} }]
         0     0%   100%       10ms 11.11%  os.doInRoot[go.shape.interface { IsDir bool; ModTime time.Time; Mode io/fs.FileMode; Name string; Size int64; Sys interface {} }].func1
         0     0%   100%       10ms 11.11%  os.doInRoot[go.shape.struct {}]
         0     0%   100%       10ms 11.11%  os.doInRoot[go.shape.struct {}].func1
