File: ategcs.test
Build ID: ab944ee20f9719592e46460881edafb1a798a54f
Type: cpu
Time: 2026-09-19 01:20:57 UTC
Duration: 385.70ms, Total samples = 330ms (85.56%)
Showing nodes accounting for 330ms, 100% of 330ms total
Showing top 30 nodes out of 76
      flat  flat%   sum%        cum   cum%
     140ms 42.42% 42.42%      140ms 42.42%  internal/runtime/syscall/linux.Syscall6
      70ms 21.21% 63.64%       70ms 21.21%  runtime.memmove
      50ms 15.15% 78.79%       50ms 15.15%  github.com/klauspost/compress/zstd/internal/xxhash.writeBlocks
      20ms  6.06% 84.85%       80ms 24.24%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.writeSparseSourceTB
      10ms  3.03% 87.88%       10ms  3.03%  github.com/klauspost/compress/zstd.matchLen
      10ms  3.03% 90.91%       10ms  3.03%  github.com/klauspost/compress/zstd.sequenceDecs_decodeSync_safe_bmi2
      10ms  3.03% 93.94%       10ms  3.03%  runtime.memclrNoHeapPointers
      10ms  3.03% 96.97%       10ms  3.03%  runtime.scanblock
      10ms  3.03%   100%       10ms  3.03%  runtime.typePointers.next
         0     0%   100%       30ms  9.09%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.(*parZstd).Write
         0     0%   100%       70ms 21.21%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.(*parZstd).worker
         0     0%   100%      160ms 48.48%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.BenchmarkReadSparseZstd
         0     0%   100%       80ms 24.24%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.BenchmarkWriteSparseZstd
         0     0%   100%       90ms 27.27%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.readSparseZstd
         0     0%   100%       50ms 15.15%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.writeSparseZstd
         0     0%   100%       40ms 12.12%  github.com/klauspost/compress/zstd.(*Decoder).Read
         0     0%   100%       40ms 12.12%  github.com/klauspost/compress/zstd.(*Decoder).nextBlock
         0     0%   100%       40ms 12.12%  github.com/klauspost/compress/zstd.(*Decoder).nextBlockSync
         0     0%   100%       70ms 21.21%  github.com/klauspost/compress/zstd.(*Encoder).EncodeAll
         0     0%   100%       70ms 21.21%  github.com/klauspost/compress/zstd.(*Encoder).encodeAll
         0     0%   100%       10ms  3.03%  github.com/klauspost/compress/zstd.(*blockDec).decodeBuf
         0     0%   100%       10ms  3.03%  github.com/klauspost/compress/zstd.(*blockDec).decodeCompressed
         0     0%   100%       20ms  6.06%  github.com/klauspost/compress/zstd.(*fastBase).addBlock
         0     0%   100%       10ms  3.03%  github.com/klauspost/compress/zstd.(*fastBase).matchlen (inline)
         0     0%   100%       30ms  9.09%  github.com/klauspost/compress/zstd.(*fastEncoder).Encode
         0     0%   100%       20ms  6.06%  github.com/klauspost/compress/zstd.(*history).ensureBlock (inline)
         0     0%   100%       10ms  3.03%  github.com/klauspost/compress/zstd.(*sequenceDecs).decodeSync
         0     0%   100%       10ms  3.03%  github.com/klauspost/compress/zstd.(*sequenceDecs).decodeSyncSimple
         0     0%   100%       10ms  3.03%  github.com/klauspost/compress/zstd.decodeSyncAsm
         0     0%   100%       50ms 15.15%  github.com/klauspost/compress/zstd/internal/xxhash.(*Digest).Write
