File: tarutil.test
Build ID: 5357fa83a8829f4c0d40f820e8be6d8547c2dd88
Type: cpu
Time: 2026-09-19 01:21:03 UTC
Duration: 146.69ms, Total samples = 90ms (61.36%)
Showing nodes accounting for 90ms, 100% of 90ms total
Showing top 30 nodes out of 57
      flat  flat%   sum%        cum   cum%
      90ms   100%   100%       90ms   100%  internal/runtime/syscall/linux.Syscall6
         0     0%   100%       20ms 22.22%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkCreate
         0     0%   100%       70ms 77.78%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkExtract
         0     0%   100%       30ms 33.33%  github.com/agent-substrate/substrate/internal/tarutil.Create (inline)
         0     0%   100%       30ms 33.33%  github.com/agent-substrate/substrate/internal/tarutil.CreateFiltered
         0     0%   100%       20ms 22.22%  github.com/agent-substrate/substrate/internal/tarutil.Extract
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.copyFileInto
         0     0%   100%       20ms 22.22%  github.com/agent-substrate/substrate/internal/tarutil.extractEntry
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.lchownEntry
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.readOverlayXattrs
         0     0%   100%       20ms 22.22%  github.com/agent-substrate/substrate/internal/tarutil.restoreMeta
         0     0%   100%       20ms 22.22%  github.com/agent-substrate/substrate/internal/tarutil.writeTree
         0     0%   100%       20ms 22.22%  github.com/agent-substrate/substrate/internal/tarutil.writeTree.func1
         0     0%   100%       10ms 11.11%  golang.org/x/sys/unix.Llistxattr
         0     0%   100%       10ms 11.11%  internal/poll.(*FD).Fsync
         0     0%   100%       10ms 11.11%  internal/poll.(*FD).Fsync.func1 (inline)
         0     0%   100%       10ms 11.11%  internal/poll.ignoringEINTR (inline)
         0     0%   100%       10ms 11.11%  internal/syscall/unix.Openat
         0     0%   100%       10ms 11.11%  internal/syscall/unix.Readlinkat
         0     0%   100%       30ms 33.33%  internal/syscall/unix.Unlinkat
         0     0%   100%       10ms 11.11%  os.(*File).Sync
         0     0%   100%       10ms 11.11%  os.(*Root).Chtimes (inline)
         0     0%   100%       10ms 11.11%  os.(*Root).Lchown (inline)
         0     0%   100%       10ms 11.11%  os.Open (inline)
         0     0%   100%       20ms 22.22%  os.OpenFile
         0     0%   100%       30ms 33.33%  os.RemoveAll (inline)
         0     0%   100%       10ms 11.11%  os.WriteFile
         0     0%   100%       10ms 11.11%  os.afterResolvingSymlink
         0     0%   100%       10ms 11.11%  os.checkSymlink (inline)
         0     0%   100%       10ms 11.11%  os.chtimesat (inline)
