File: tarutil.test
Build ID: 84969c7fd3301c9f10946809187a046ab5efede6
Type: cpu
Time: 2026-09-19 01:19:21 UTC
Duration: 147.08ms, Total samples = 90ms (61.19%)
Showing nodes accounting for 90ms, 100% of 90ms total
Showing top 30 nodes out of 64
      flat  flat%   sum%        cum   cum%
      70ms 77.78% 77.78%       70ms 77.78%  internal/runtime/syscall/linux.Syscall6
      10ms 11.11% 88.89%       10ms 11.11%  internal/runtime/atomic.(*Uint32).CompareAndSwap (inline)
      10ms 11.11%   100%       20ms 22.22%  os.doInRoot[go.shape.int]
         0     0%   100%       20ms 22.22%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkCreate
         0     0%   100%       60ms 66.67%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkExtract
         0     0%   100%       20ms 22.22%  github.com/agent-substrate/substrate/internal/tarutil.Create (inline)
         0     0%   100%       20ms 22.22%  github.com/agent-substrate/substrate/internal/tarutil.CreateFiltered
         0     0%   100%       60ms 66.67%  github.com/agent-substrate/substrate/internal/tarutil.Extract
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.copyFileInto
         0     0%   100%       60ms 66.67%  github.com/agent-substrate/substrate/internal/tarutil.extractEntry
         0     0%   100%       20ms 22.22%  github.com/agent-substrate/substrate/internal/tarutil.lchownEntry
         0     0%   100%       30ms 33.33%  github.com/agent-substrate/substrate/internal/tarutil.restoreMeta
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.writeTree
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.writeTree.func1
         0     0%   100%       10ms 11.11%  internal/poll.(*FD).Close
         0     0%   100%       10ms 11.11%  internal/poll.(*FD).decref
         0     0%   100%       10ms 11.11%  internal/poll.(*FD).destroy
         0     0%   100%       10ms 11.11%  internal/poll.(*SysFile).destroy (inline)
         0     0%   100%       20ms 22.22%  internal/syscall/unix.Fchownat
         0     0%   100%       20ms 22.22%  internal/syscall/unix.Openat
         0     0%   100%       10ms 11.11%  internal/syscall/unix.Unlinkat
         0     0%   100%       10ms 11.11%  os.(*File).Close
         0     0%   100%       10ms 11.11%  os.(*Root).Chtimes (inline)
         0     0%   100%       20ms 22.22%  os.(*Root).Lchown (inline)
         0     0%   100%       30ms 33.33%  os.(*Root).OpenFile
         0     0%   100%       10ms 11.11%  os.(*file).close
         0     0%   100%       10ms 11.11%  os.Open (inline)
         0     0%   100%       10ms 11.11%  os.OpenFile
         0     0%   100%       10ms 11.11%  os.RemoveAll
         0     0%   100%       30ms 33.33%  os.doInRoot[go.shape.struct {}]
