File: tarutil.test
Build ID: 84969c7fd3301c9f10946809187a046ab5efede6
Type: cpu
Time: 2026-09-19 01:19:25 UTC
Duration: 135.50ms, Total samples = 90ms (66.42%)
Showing nodes accounting for 90ms, 100% of 90ms total
Showing top 30 nodes out of 78
      flat  flat%   sum%        cum   cum%
      70ms 77.78% 77.78%       70ms 77.78%  internal/runtime/syscall/linux.Syscall6
      10ms 11.11% 88.89%       10ms 11.11%  bytes.indexFunc
      10ms 11.11%   100%       30ms 33.33%  syscall.Syscall6
         0     0%   100%       10ms 11.11%  archive/tar.(*Reader).Next
         0     0%   100%       10ms 11.11%  archive/tar.(*Reader).next
         0     0%   100%       10ms 11.11%  archive/tar.(*Reader).readHeader
         0     0%   100%       10ms 11.11%  archive/tar.(*Writer).Write
         0     0%   100%       10ms 11.11%  archive/tar.(*regFileWriter).Write
         0     0%   100%       10ms 11.11%  bufio.(*Writer).Flush
         0     0%   100%       10ms 11.11%  bufio.(*Writer).Write
         0     0%   100%       10ms 11.11%  bytes.IndexFunc (inline)
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.(*writerOnly).Write
         0     0%   100%       20ms 22.22%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkCreate
         0     0%   100%       50ms 55.56%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkExtract
         0     0%   100%       30ms 33.33%  github.com/agent-substrate/substrate/internal/tarutil.Create (inline)
         0     0%   100%       30ms 33.33%  github.com/agent-substrate/substrate/internal/tarutil.CreateFiltered
         0     0%   100%       40ms 44.44%  github.com/agent-substrate/substrate/internal/tarutil.Extract
         0     0%   100%       20ms 22.22%  github.com/agent-substrate/substrate/internal/tarutil.copyFileInto
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.copyPooled
         0     0%   100%       30ms 33.33%  github.com/agent-substrate/substrate/internal/tarutil.extractEntry
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.lchownEntry
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.readOverlayXattrs
         0     0%   100%       30ms 33.33%  github.com/agent-substrate/substrate/internal/tarutil.restoreMeta
         0     0%   100%       30ms 33.33%  github.com/agent-substrate/substrate/internal/tarutil.writeTree
         0     0%   100%       30ms 33.33%  github.com/agent-substrate/substrate/internal/tarutil.writeTree.func1
         0     0%   100%       10ms 11.11%  golang.org/x/sys/unix.Llistxattr
         0     0%   100%       10ms 11.11%  internal/poll.(*FD).Write
         0     0%   100%       10ms 11.11%  internal/poll.ignoringEINTRIO (inline)
         0     0%   100%       10ms 11.11%  internal/syscall/unix.Fchownat
         0     0%   100%       10ms 11.11%  internal/syscall/unix.Openat
