File: tarutil.test
Build ID: 84969c7fd3301c9f10946809187a046ab5efede6
Type: alloc_space
Time: 2026-09-19 01:19:26 UTC
Showing nodes accounting for 11265.50kB, 100% of 11265.50kB total
Showing top 30 nodes out of 108
      flat  flat%   sum%        cum   cum%
 1536.19kB 13.64% 13.64%  1536.19kB 13.64%  os.readlinkat
 1184.27kB 10.51% 24.15%  1184.27kB 10.51%  runtime/pprof.StartCPUProfile
  688.56kB  6.11% 30.26%   688.56kB  6.11%  compress/flate.(*fastGen).addBlock
  583.01kB  5.18% 35.44%   583.01kB  5.18%  compress/flate.newFastEnc (inline)
  578.66kB  5.14% 40.57%   578.66kB  5.14%  github.com/agent-substrate/substrate/internal/tarutil.init.func3
  544.67kB  4.83% 45.41%   544.67kB  4.83%  bufio.NewWriterSize
  516.64kB  4.59% 49.99%   516.64kB  4.59%  runtime/pprof.(*protobuf).string
     513kB  4.55% 54.55%      513kB  4.55%  runtime.mallocgc
  512.12kB  4.55% 59.09%   512.12kB  4.55%  runtime/pprof.allFrames
  512.11kB  4.55% 63.64%   512.11kB  4.55%  archive/tar.(*Reader).readHeader
  512.10kB  4.55% 68.18%   512.10kB  4.55%  os.lstatatWithName
  512.08kB  4.55% 72.73%   512.08kB  4.55%  compress/gzip.NewWriterLevel
  512.03kB  4.55% 77.28%   512.03kB  4.55%  syscall.ByteSliceFromString
  512.02kB  4.55% 81.82%   512.02kB  4.55%  archive/tar.Header.allowedFormats
  512.02kB  4.54% 86.37%   512.02kB  4.54%  os.chtimesat.1.1
  512.02kB  4.54% 90.91%   512.02kB  4.54%  os.splitPathInRoot
  512.01kB  4.54% 95.46%   512.01kB  4.54%  internal/strconv.formatBits
  512.01kB  4.54%   100%   512.01kB  4.54%  os.(*File).readdir
         0     0%   100%   512.11kB  4.55%  archive/tar.(*Reader).Next
         0     0%   100%   512.11kB  4.55%  archive/tar.(*Reader).next
         0     0%   100%  1024.03kB  9.09%  archive/tar.(*Writer).WriteHeader
         0     0%   100%   512.01kB  4.54%  archive/tar.(*Writer).templateV7Plus
         0     0%   100%   512.01kB  4.54%  archive/tar.(*Writer).writeUSTARHeader
         0     0%   100%   512.01kB  4.54%  archive/tar.(*formatter).formatOctal
         0     0%   100%   688.56kB  6.11%  compress/flate.(*Writer).Close
         0     0%   100%   688.56kB  6.11%  compress/flate.(*compressor).close
         0     0%   100%   688.56kB  6.11%  compress/flate.(*compressor).deflateFast
         0     0%   100%   583.01kB  5.18%  compress/flate.(*compressor).init
         0     0%   100%   688.56kB  6.11%  compress/flate.(*fastEncL1).encode
         0     0%   100%   583.01kB  5.18%  compress/flate.NewWriter
