File: ategcs.test
Build ID: eff57e717d3c2e915215f15d0d448863bd8076f4
Type: cpu
Time: 2026-09-19 01:29:20 UTC
Duration: 404.67ms, Total samples = 330ms (81.55%)
Showing nodes accounting for 330ms, 100% of 330ms total
Showing top 30 nodes out of 86
      flat  flat%   sum%        cum   cum%
     100ms 30.30% 30.30%      100ms 30.30%  runtime.memmove
      70ms 21.21% 51.52%       70ms 21.21%  internal/runtime/syscall/linux.Syscall6
      50ms 15.15% 66.67%       70ms 21.21%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.writeSparseSourceTB
      50ms 15.15% 81.82%       50ms 15.15%  github.com/klauspost/compress/zstd.sequenceDecs_decodeSync_safe_bmi2
      20ms  6.06% 87.88%       20ms  6.06%  runtime.futex
      10ms  3.03% 90.91%       10ms  3.03%  github.com/klauspost/compress/zstd.matchLen
      10ms  3.03% 93.94%       10ms  3.03%  github.com/klauspost/compress/zstd/internal/xxhash.writeBlocks
      10ms  3.03% 96.97%       10ms  3.03%  runtime.releasem
      10ms  3.03%   100%       10ms  3.03%  runtime.tryDeferToSpanScan
         0     0%   100%       30ms  9.09%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.(*parZstd).Write
         0     0%   100%       60ms 18.18%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.(*parZstd).worker
         0     0%   100%      160ms 48.48%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.BenchmarkReadSparseZstd
         0     0%   100%       70ms 21.21%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.BenchmarkWriteSparseZstd
         0     0%   100%      100ms 30.30%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.readSparseZstd
         0     0%   100%       50ms 15.15%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.writeSparseZstd
         0     0%   100%       80ms 24.24%  github.com/klauspost/compress/zstd.(*Decoder).Read
         0     0%   100%       80ms 24.24%  github.com/klauspost/compress/zstd.(*Decoder).nextBlock
         0     0%   100%       80ms 24.24%  github.com/klauspost/compress/zstd.(*Decoder).nextBlockSync
         0     0%   100%       60ms 18.18%  github.com/klauspost/compress/zstd.(*Encoder).EncodeAll
         0     0%   100%       60ms 18.18%  github.com/klauspost/compress/zstd.(*Encoder).encodeAll
         0     0%   100%       50ms 15.15%  github.com/klauspost/compress/zstd.(*blockDec).decodeBuf
         0     0%   100%       50ms 15.15%  github.com/klauspost/compress/zstd.(*blockDec).decodeCompressed
         0     0%   100%       50ms 15.15%  github.com/klauspost/compress/zstd.(*fastBase).addBlock
         0     0%   100%       10ms  3.03%  github.com/klauspost/compress/zstd.(*fastBase).matchlen (inline)
         0     0%   100%       60ms 18.18%  github.com/klauspost/compress/zstd.(*fastEncoder).Encode
         0     0%   100%       20ms  6.06%  github.com/klauspost/compress/zstd.(*history).ensureBlock (inline)
         0     0%   100%       50ms 15.15%  github.com/klauspost/compress/zstd.(*sequenceDecs).decodeSync
         0     0%   100%       50ms 15.15%  github.com/klauspost/compress/zstd.(*sequenceDecs).decodeSyncSimple
         0     0%   100%       50ms 15.15%  github.com/klauspost/compress/zstd.decodeSyncAsm
         0     0%   100%       10ms  3.03%  github.com/klauspost/compress/zstd/internal/xxhash.(*Digest).Write
