File: tarutil.test
Build ID: 50803daeda5fdbd1acbf4fc8b5b8a5c11fb90c27
Type: cpu
Time: 2026-09-19 01:29:26 UTC
Duration: 146.71ms, Total samples = 90ms (61.35%)
Showing nodes accounting for 90ms, 100% of 90ms total
Showing top 30 nodes out of 80
      flat  flat%   sum%        cum   cum%
      90ms   100%   100%       90ms   100%  internal/runtime/syscall/linux.Syscall6
         0     0%   100%       10ms 11.11%  archive/tar.(*Writer).Write
         0     0%   100%       10ms 11.11%  archive/tar.(*regFileWriter).Write
         0     0%   100%       10ms 11.11%  bufio.(*Writer).Flush
         0     0%   100%       10ms 11.11%  bufio.(*Writer).Write
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.(*readerOnly).Read
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.(*writerOnly).Write
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkCreate
         0     0%   100%       70ms 77.78%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkExtract
         0     0%   100%       20ms 22.22%  github.com/agent-substrate/substrate/internal/tarutil.Create (inline)
         0     0%   100%       20ms 22.22%  github.com/agent-substrate/substrate/internal/tarutil.CreateFiltered
         0     0%   100%       50ms 55.56%  github.com/agent-substrate/substrate/internal/tarutil.Extract
         0     0%   100%       20ms 22.22%  github.com/agent-substrate/substrate/internal/tarutil.copyFileInto
         0     0%   100%       20ms 22.22%  github.com/agent-substrate/substrate/internal/tarutil.copyPooled
         0     0%   100%       50ms 55.56%  github.com/agent-substrate/substrate/internal/tarutil.extractEntry
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.lchownEntry
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.replaceExisting
         0     0%   100%       30ms 33.33%  github.com/agent-substrate/substrate/internal/tarutil.restoreMeta
         0     0%   100%       20ms 22.22%  github.com/agent-substrate/substrate/internal/tarutil.writeTree
         0     0%   100%       20ms 22.22%  github.com/agent-substrate/substrate/internal/tarutil.writeTree.func1
         0     0%   100%       10ms 11.11%  internal/poll.(*FD).Read
         0     0%   100%       10ms 11.11%  internal/poll.(*FD).Write
         0     0%   100%       20ms 22.22%  internal/poll.ignoringEINTRIO (inline)
         0     0%   100%       30ms 33.33%  internal/syscall/unix.Openat
         0     0%   100%       10ms 11.11%  internal/syscall/unix.Unlinkat
         0     0%   100%       20ms 22.22%  io.CopyBuffer
         0     0%   100%       20ms 22.22%  io.copyBuffer
         0     0%   100%       10ms 11.11%  os.(*File).Read
         0     0%   100%       10ms 11.11%  os.(*File).Write
         0     0%   100%       10ms 11.11%  os.(*File).read (inline)
