File: tarutil.test
Build ID: 754cc1dac73b90817f894250da50d691dbf7587a
Type: cpu
Time: 2026-09-19 01:31:28 UTC
Duration: 145.66ms, Total samples = 90ms (61.79%)
Showing nodes accounting for 90ms, 100% of 90ms total
Showing top 30 nodes out of 63
      flat  flat%   sum%        cum   cum%
      70ms 77.78% 77.78%       70ms 77.78%  internal/runtime/syscall/linux.Syscall6
      10ms 11.11% 88.89%       10ms 11.11%  archive/tar.(*block).computeChecksum (inline)
      10ms 11.11%   100%       10ms 11.11%  os.(*root).incref
         0     0%   100%       10ms 11.11%  archive/tar.(*Reader).Next
         0     0%   100%       10ms 11.11%  archive/tar.(*Reader).next
         0     0%   100%       10ms 11.11%  archive/tar.(*Reader).readHeader
         0     0%   100%       10ms 11.11%  archive/tar.(*block).getFormat
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkCreate
         0     0%   100%       70ms 77.78%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkExtract
         0     0%   100%       20ms 22.22%  github.com/agent-substrate/substrate/internal/tarutil.Create (inline)
         0     0%   100%       20ms 22.22%  github.com/agent-substrate/substrate/internal/tarutil.CreateFiltered
         0     0%   100%       50ms 55.56%  github.com/agent-substrate/substrate/internal/tarutil.Extract
         0     0%   100%       40ms 44.44%  github.com/agent-substrate/substrate/internal/tarutil.extractEntry
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.readOverlayXattrs
         0     0%   100%       20ms 22.22%  github.com/agent-substrate/substrate/internal/tarutil.restoreMeta
         0     0%   100%       20ms 22.22%  github.com/agent-substrate/substrate/internal/tarutil.writeTree
         0     0%   100%       20ms 22.22%  github.com/agent-substrate/substrate/internal/tarutil.writeTree.func1
         0     0%   100%       10ms 11.11%  golang.org/x/sys/unix.Llistxattr
         0     0%   100%       10ms 11.11%  internal/poll.(*FD).Init
         0     0%   100%       10ms 11.11%  internal/poll.(*pollDesc).init
         0     0%   100%       10ms 11.11%  internal/poll.runtime_pollOpen
         0     0%   100%       10ms 11.11%  internal/runtime/syscall/linux.EpollCtl (inline)
         0     0%   100%       10ms 11.11%  internal/syscall/unix.Openat
         0     0%   100%       20ms 22.22%  internal/syscall/unix.Unlinkat
         0     0%   100%       10ms 11.11%  os.(*Root).Chmod (inline)
         0     0%   100%       10ms 11.11%  os.(*Root).Chtimes (inline)
         0     0%   100%       20ms 22.22%  os.(*Root).OpenFile
         0     0%   100%       10ms 11.11%  os.(*unixDirent).Info
         0     0%   100%       10ms 11.11%  os.Lstat
         0     0%   100%       20ms 22.22%  os.RemoveAll (inline)
