File: tarutil.test
Build ID: 2fd17c118190307f1fb2567dd4d570913181cc0e
Type: alloc_space
Time: 2026-09-19 01:39:15 UTC
Showing nodes accounting for 7912.69kB, 100% of 7912.69kB total
Showing top 30 nodes out of 72
      flat  flat%   sum%        cum   cum%
 1184.27kB 14.97% 14.97%  1184.27kB 14.97%  runtime/pprof.StartCPUProfile
 1025.23kB 12.96% 27.92%  1025.23kB 12.96%  runtime.mallocgc
 1024.02kB 12.94% 40.87%  1024.02kB 12.94%  os.splitPathInRoot
  578.66kB  7.31% 48.18%   578.66kB  7.31%  github.com/agent-substrate/substrate/internal/tarutil.init.func3
  516.01kB  6.52% 54.70%   516.01kB  6.52%  os.init.func1
  512.11kB  6.47% 61.17%   512.11kB  6.47%  archive/tar.(*Reader).readHeader
  512.11kB  6.47% 67.64%   512.11kB  6.47%  archive/tar.FileInfoHeader
  512.10kB  6.47% 74.12%   512.10kB  6.47%  os.statNolog
  512.08kB  6.47% 80.59%   512.08kB  6.47%  compress/gzip.NewWriterLevel
  512.05kB  6.47% 87.06%   512.05kB  6.47%  os.newFile
  512.03kB  6.47% 93.53%   512.03kB  6.47%  os.newUnixDirent
  512.01kB  6.47%   100%   512.01kB  6.47%  internal/strconv.formatBits
         0     0%   100%   512.11kB  6.47%  archive/tar.(*Reader).Next
         0     0%   100%   512.11kB  6.47%  archive/tar.(*Reader).next
         0     0%   100%   512.01kB  6.47%  archive/tar.(*Writer).WriteHeader
         0     0%   100%   512.01kB  6.47%  archive/tar.(*Writer).templateV7Plus
         0     0%   100%   512.01kB  6.47%  archive/tar.(*Writer).writeUSTARHeader
         0     0%   100%   512.01kB  6.47%  archive/tar.(*formatter).formatOctal
         0     0%   100%  2048.19kB 25.88%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkCreate
         0     0%   100%  3142.92kB 39.72%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkExtract
         0     0%   100%  3142.87kB 39.72%  github.com/agent-substrate/substrate/internal/tarutil.Create (inline)
         0     0%   100%  3142.87kB 39.72%  github.com/agent-substrate/substrate/internal/tarutil.CreateFiltered
         0     0%   100%  1536.13kB 19.41%  github.com/agent-substrate/substrate/internal/tarutil.Extract
         0     0%   100%  1090.71kB 13.78%  github.com/agent-substrate/substrate/internal/tarutil.copyFileInto
         0     0%   100%   578.66kB  7.31%  github.com/agent-substrate/substrate/internal/tarutil.copyPooled
         0     0%   100%  1024.02kB 12.94%  github.com/agent-substrate/substrate/internal/tarutil.extractEntry
         0     0%   100%   512.01kB  6.47%  github.com/agent-substrate/substrate/internal/tarutil.lchownEntry
         0     0%   100%   512.02kB  6.47%  github.com/agent-substrate/substrate/internal/tarutil.replaceExisting
         0     0%   100%   512.01kB  6.47%  github.com/agent-substrate/substrate/internal/tarutil.restoreMeta
         0     0%   100%  3142.87kB 39.72%  github.com/agent-substrate/substrate/internal/tarutil.writeTree
