File: ch.test
Build ID: 7e5dab877a02d8666a12abdfeb0afd299f2e1b33
Type: alloc_space
Time: 2026-09-19 01:39:20 UTC
Showing nodes accounting for 75.21MB, 100% of 75.21MB total
Showing top 30 nodes out of 40
      flat  flat%   sum%        cum   cum%
   71.88MB 95.57% 95.57%    71.88MB 95.57%  github.com/agent-substrate/substrate/cmd/ateom-microvm/internal/ch.fill (inline)
    1.16MB  1.54% 97.11%     1.16MB  1.54%  runtime/pprof.StartCPUProfile
       1MB  1.33% 98.44%        1MB  1.33%  runtime.mallocgc
    0.67MB  0.89% 99.34%     0.67MB  0.89%  compress/flate.(*fastGen).addBlock
    0.50MB  0.66%   100%     0.50MB  0.66%  testing.(*B).ResetTimer
         0     0%   100%     0.67MB  0.89%  compress/flate.(*Writer).Close (inline)
         0     0%   100%     0.67MB  0.89%  compress/flate.(*compressor).close
         0     0%   100%     0.67MB  0.89%  compress/flate.(*compressor).deflateFast
         0     0%   100%     0.67MB  0.89%  compress/flate.(*fastEncL1).encode
         0     0%   100%     0.67MB  0.89%  compress/gzip.(*Writer).Close
         0     0%   100%    32.01MB 42.55%  github.com/agent-substrate/substrate/cmd/ateom-microvm/internal/ch.BenchmarkCopySparseRegions
         0     0%   100%    39.87MB 53.02%  github.com/agent-substrate/substrate/cmd/ateom-microvm/internal/ch.BenchmarkMergeDeltaIntoBase
         0     0%   100%     1.66MB  2.20%  main.main
         0     0%   100%     0.50MB  0.66%  runtime.(*scavengerState).sleep
         0     0%   100%     0.50MB  0.66%  runtime.(*timer).maybeAdd
         0     0%   100%     0.50MB  0.66%  runtime.(*timer).modify
         0     0%   100%     0.50MB  0.66%  runtime.(*timer).reset (inline)
         0     0%   100%     0.50MB  0.66%  runtime.(*timers).addHeap
         0     0%   100%     0.50MB  0.67%  runtime.allocm
         0     0%   100%     0.50MB  0.66%  runtime.bgscavenge
         0     0%   100%     0.50MB  0.66%  runtime.growslice
         0     0%   100%     1.66MB  2.20%  runtime.main
         0     0%   100%     0.50MB  0.67%  runtime.mstart
         0     0%   100%     0.50MB  0.67%  runtime.mstart0
         0     0%   100%     0.50MB  0.67%  runtime.mstart1
         0     0%   100%     0.50MB  0.67%  runtime.newm
         0     0%   100%     0.50MB  0.67%  runtime.newobject
         0     0%   100%     0.50MB  0.67%  runtime.resetspinning
         0     0%   100%     0.50MB  0.67%  runtime.schedule
         0     0%   100%     0.50MB  0.67%  runtime.startm
