Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
grpc,CreateActor,1,0,1,1.0,1,1,0.0,0.008403361344537815,0.0,1,1,1,1,1,1,1,1,1,1,1
grpc,CreateAtespace,1,0,1,1.0,1,1,0.0,0.008403361344537815,0.0,1,1,1,1,1,1,1,1,1,1,1
http,GluttonChurnRAM,12,0,140,135.41666666666666,131,143,0.0,0.10084033613445378,0.0,140,140,140,140,140,140,140,140,140,140,140
http,GluttonFillRAM,1,0,8268,8268.0,8268,8268,0.0,0.008403361344537815,0.0,8300,8300,8300,8300,8300,8300,8300,8300,8300,8300,8300
http,GluttonPing,12,0,4,3.75,3,5,38.0,0.10084033613445378,0.0,4,4,4,4,4,5,5,5,5,5,5
http,GluttonReadRAM,12,0,3396,3100.25,12,3396,1073741824.0,0.10084033613445378,0.0,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400
grpc,ResumeActor,11,0,2900,2939.909090909091,2724,3193,0.0,0.09243697478991597,0.0,2900,3000,3100,3100,3200,3200,3200,3200,3200,3200,3200
grpc,ResumeActorColdStart,1,0,1031,1031.0,1031,1031,0.0,0.008403361344537815,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
grpc,SuspendActor,11,0,3300,3232.2727272727275,3090,3381,0.0,0.09243697478991597,0.0,3300,3300,3300,3300,3300,3400,3400,3400,3400,3400,3400
,Aggregated,62,0,2800,1872.0645161290322,0,8268,207821005.5483871,0.5210084033613446,0.0,2900,3200,3300,3400,3400,3400,3400,8300,8300,8300,8300
