File: tarutil.test
Build ID: d7447a1c7c8916ad9b2e608e21a3f4b341db44be
Type: alloc_space
Time: 2026-09-18 03:26:39 UTC
Showing nodes accounting for 13178.13kB, 100% of 13178.13kB total
Showing top 30 nodes out of 102
      flat  flat%   sum%        cum   cum%
 2560.11kB 19.43% 19.43%  2560.11kB 19.43%  syscall.ByteSliceFromString
 1735.99kB 13.17% 32.60%  1735.99kB 13.17%  github.com/agent-substrate/substrate/internal/tarutil.init.func3
 1536.04kB 11.66% 44.26%  1536.04kB 11.66%  os.splitPathInRoot
 1184.27kB  8.99% 53.24%  1184.27kB  8.99%  runtime/pprof.StartCPUProfile
 1024.22kB  7.77% 61.01%  1024.22kB  7.77%  archive/tar.FileInfoHeader
 1024.02kB  7.77% 68.79%  1024.02kB  7.77%  archive/tar.(*parser).parseString
  528.17kB  4.01% 72.79%   528.17kB  4.01%  regexp.(*bitState).reset
     513kB  3.89% 76.69%      513kB  3.89%  runtime.mallocgc
  512.10kB  3.89% 80.57%  1024.13kB  7.77%  os.lstatNolog
  512.10kB  3.89% 84.46%   512.10kB  3.89%  os.lstatatWithName
  512.05kB  3.89% 88.34%   512.05kB  3.89%  os.newFile
  512.03kB  3.89% 92.23%   512.03kB  3.89%  os.joinPath (inline)
  512.02kB  3.89% 96.11%   512.02kB  3.89%  testing.(*B).ResetTimer
  512.01kB  3.89%   100%     2248kB 17.06%  github.com/agent-substrate/substrate/internal/tarutil.copyPooled
         0     0%   100%  1024.02kB  7.77%  archive/tar.(*Reader).Next
         0     0%   100%  1024.02kB  7.77%  archive/tar.(*Reader).next
         0     0%   100%  1024.02kB  7.77%  archive/tar.(*Reader).readHeader
         0     0%   100%   512.01kB  3.89%  archive/tar.(*parser).parseNumeric
         0     0%   100%   512.01kB  3.89%  archive/tar.(*parser).parseOctal
         0     0%   100%  2048.14kB 15.54%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkCreate
         0     0%   100%  8392.52kB 63.69%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkExtract
         0     0%   100%  5253.79kB 39.87%  github.com/agent-substrate/substrate/internal/tarutil.Create (inline)
         0     0%   100%  5253.79kB 39.87%  github.com/agent-substrate/substrate/internal/tarutil.CreateFiltered
         0     0%   100%  5186.87kB 39.36%  github.com/agent-substrate/substrate/internal/tarutil.Extract
         0     0%   100%  3205.44kB 24.32%  github.com/agent-substrate/substrate/internal/tarutil.copyFileInto
         0     0%   100%  4162.85kB 31.59%  github.com/agent-substrate/substrate/internal/tarutil.extractEntry
         0     0%   100%   512.01kB  3.89%  github.com/agent-substrate/substrate/internal/tarutil.lchownEntry
         0     0%   100%  1024.12kB  7.77%  github.com/agent-substrate/substrate/internal/tarutil.replaceExisting
         0     0%   100%  2048.04kB 15.54%  github.com/agent-substrate/substrate/internal/tarutil.restoreMeta
         0     0%   100%  5253.79kB 39.87%  github.com/agent-substrate/substrate/internal/tarutil.writeTree
