File: atenet
Build ID: 00740c3aa021dcb98075730589b1f0d33281a3f1
Type: cpu
Time: 2026-09-17 15:51:10 UTC
Duration: 30s, Total samples = 19.70s (65.66%)
Showing nodes accounting for 12.05s, 61.17% of 19.70s total
Dropped 794 nodes (cum <= 0.10s)
      flat  flat%   sum%        cum   cum%
         0     0%     0%      8.15s 41.37%  google.golang.org/grpc.(*Server).handleStream
         0     0%     0%      8.15s 41.37%  google.golang.org/grpc.(*Server).serveStreams.func2.1
     0.03s  0.15%  0.15%      7.54s 38.27%  google.golang.org/grpc.(*Server).processStreamingRPC
     0.01s 0.051%   0.2%      7.21s 36.60%  github.com/envoyproxy/go-control-plane/envoy/service/ext_proc/v3._ExternalProcessor_Process_Handler
     0.05s  0.25%  0.46%      7.20s 36.55%  github.com/agent-substrate/substrate/cmd/atenet/internal/router/extproc.(*Server).Process
     0.02s   0.1%  0.56%      4.75s 24.11%  github.com/agent-substrate/substrate/cmd/atenet/internal/router/extproc.(*Server).processRequestHeaders
     4.38s 22.23% 22.79%      4.38s 22.23%  internal/runtime/syscall/linux.Syscall6
     0.01s 0.051% 22.84%      4.28s 21.73%  syscall.Syscall
     0.04s   0.2% 23.05%      4.20s 21.32%  github.com/agent-substrate/substrate/cmd/atenet/internal/router/ingress.(*Handler).HandleRequestHeaders
     0.02s   0.1% 23.15%      3.98s 20.20%  google.golang.org/grpc/internal/transport.(*loopyWriter).run
     0.02s   0.1% 23.25%      3.92s 19.90%  syscall.RawSyscall6
     0.01s 0.051% 23.30%      3.73s 18.93%  internal/poll.ignoringEINTRIO (inline)
         0     0% 23.30%      3.52s 17.87%  internal/poll.(*FD).Write
         0     0% 23.30%      3.49s 17.72%  syscall.Write (inline)
         0     0% 23.30%      3.49s 17.72%  syscall.write
         0     0% 23.30%      3.03s 15.38%  google.golang.org/grpc/internal/transport.(*bufWriter).Flush
         0     0% 23.30%      2.98s 15.13%  google.golang.org/grpc/internal/transport.(*bufWriter).flushKeepBuffer
         0     0% 23.30%      2.81s 14.26%  net.(*conn).Write
         0     0% 23.30%      2.81s 14.26%  net.(*netFD).Write
     0.02s   0.1% 23.40%      2.74s 13.91%  log/slog.(*Logger).log
         0     0% 23.40%      2.74s 13.91%  log/slog.InfoContext (inline)
         0     0% 23.40%      2.28s 11.57%  github.com/agent-substrate/substrate/internal/contextlogging.(*ContextHandler).Handle
         0     0% 23.40%      2.06s 10.46%  google.golang.org/grpc/internal/transport.NewServerTransport.func3
         0     0% 23.40%      1.98s 10.05%  google.golang.org/grpc.(*Server).handleRawConn.func1
         0     0% 23.40%      1.98s 10.05%  google.golang.org/grpc.(*Server).serveStreams
     0.03s  0.15% 23.55%      1.98s 10.05%  google.golang.org/grpc/internal/transport.(*http2Server).HandleStreams
     0.02s   0.1% 23.65%      1.94s  9.85%  log/slog.(*JSONHandler).Handle
         0     0% 23.65%      1.92s  9.75%  google.golang.org/grpc/internal/transport.NewHTTP2Client.func6
     0.06s   0.3% 23.96%      1.92s  9.75%  log/slog.(*commonHandler).handle
     0.04s   0.2% 24.16%      1.92s  9.75%  runtime.systemstack
     0.01s 0.051% 24.21%      1.90s  9.64%  google.golang.org/grpc/internal/transport.(*framer).readFrame
         0     0% 24.21%      1.89s  9.59%  golang.org/x/sync/singleflight.(*Group).doCall
     0.01s 0.051% 24.26%      1.83s  9.29%  runtime.mcall
     0.02s   0.1% 24.37%      1.82s  9.24%  github.com/agent-substrate/substrate/cmd/atenet/internal/router/ingress.(*ActorResumer).ResumeActor.func1
         0     0% 24.37%      1.82s  9.24%  golang.org/x/sync/singleflight.(*Group).doCall.func2
         0     0% 24.37%      1.71s  8.68%  k8s.io/apimachinery/pkg/util/wait.ExponentialBackoffWithContext
     0.02s   0.1% 24.47%      1.70s  8.63%  k8s.io/apimachinery/pkg/util/wait.runConditionWithCrashProtectionWithContext
     0.01s 0.051% 24.52%      1.69s  8.58%  google.golang.org/grpc.(*ClientConn).Invoke
     0.01s 0.051% 24.57%      1.68s  8.53%  crypto/tls.(*Conn).Write
         0     0% 24.57%      1.68s  8.53%  github.com/agent-substrate/substrate/cmd/atenet/internal/router/ingress.(*ActorResumer).ResumeActor.func1.1
         0     0% 24.57%      1.68s  8.53%  github.com/agent-substrate/substrate/pkg/proto/ateapipb.(*controlClient).ResumeActor
     0.01s 0.051% 24.62%      1.68s  8.53%  google.golang.org/grpc.invoke
     0.06s   0.3% 24.92%      1.66s  8.43%  runtime.schedule
     0.02s   0.1% 25.03%      1.65s  8.38%  crypto/tls.(*Conn).writeRecordLocked
     0.02s   0.1% 25.13%      1.55s  7.87%  crypto/tls.(*Conn).write
     0.01s 0.051% 25.18%      1.54s  7.82%  runtime.park_m
     0.07s  0.36% 25.53%      1.48s  7.51%  runtime.findRunnable
     0.04s   0.2% 25.74%      1.37s  6.95%  io.ReadAtLeast
         0     0% 25.74%      1.37s  6.95%  io.ReadFull (inline)
         0     0% 25.74%      1.36s  6.90%  github.com/envoyproxy/go-control-plane/envoy/service/ext_proc/v3.(*externalProcessorProcessServer).Send
     0.02s   0.1% 25.84%      1.36s  6.90%  google.golang.org/grpc.(*serverStream).SendMsg
     0.02s   0.1% 25.94%      1.33s  6.75%  golang.org/x/net/http2.(*Framer).ReadFrameHeader
         0     0% 25.94%      1.30s  6.60%  golang.org/x/net/http2.readFrameHeader
         0     0% 25.94%      1.29s  6.55%  runtime.newstack
     0.02s   0.1% 26.04%      1.21s  6.14%  google.golang.org/grpc.recv
     0.02s   0.1% 26.14%      1.20s  6.09%  runtime.copystack
     0.01s 0.051% 26.19%      1.13s  5.74%  google.golang.org/grpc/internal/transport.(*http2Client).reader
     0.11s  0.56% 26.75%      1.13s  5.74%  runtime.mallocgc
         0     0% 26.75%      1.06s  5.38%  google.golang.org/grpc.prepareMsg
     0.01s 0.051% 26.80%      1.05s  5.33%  google.golang.org/grpc.encode
         0     0% 26.80%      1.04s  5.28%  google.golang.org/grpc/encoding/proto.(*codecV2).Marshal
     0.02s   0.1% 26.90%      1.02s  5.18%  github.com/envoyproxy/go-control-plane/envoy/service/ext_proc/v3.(*externalProcessorProcessServer).Recv
         0     0% 26.90%      1.02s  5.18%  google.golang.org/grpc.(*clientStream).RecvMsg
     0.01s 0.051% 26.95%         1s  5.08%  google.golang.org/grpc.(*serverStream).RecvMsg
     0.02s   0.1% 27.06%      0.93s  4.72%  google.golang.org/grpc.(*clientStream).withRetry
     0.05s  0.25% 27.31%      0.91s  4.62%  go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc.(*config).handleRPC
     0.01s 0.051% 27.36%      0.82s  4.16%  log/slog.(*handleState).appendNonBuiltIns
     0.03s  0.15% 27.51%      0.81s  4.11%  google.golang.org/grpc/internal/transport/readyreader.(*bufReadyReader).Read
     0.01s 0.051% 27.56%      0.80s  4.06%  syscall.Read (inline)
     0.04s   0.2% 27.77%      0.79s  4.01%  log/slog.(*handleState).appendAttr
         0     0% 27.77%      0.79s  4.01%  log/slog.(*handleState).appendNonBuiltIns.func1 (inline)
         0     0% 27.77%      0.79s  4.01%  log/slog.Record.Attrs (inline)
     0.01s 0.051% 27.82%      0.79s  4.01%  syscall.read
     0.01s 0.051% 27.87%      0.78s  3.96%  google.golang.org/grpc/encoding/proto.(*codecV2).Unmarshal
     0.01s 0.051% 27.92%      0.77s  3.91%  google.golang.org/protobuf/proto.Unmarshal
     0.01s 0.051% 27.97%      0.76s  3.86%  google.golang.org/protobuf/proto.UnmarshalOptions.unmarshal
     0.75s  3.81% 31.78%      0.75s  3.81%  runtime.futex
     0.03s  0.15% 31.93%      0.74s  3.76%  google.golang.org/grpc/internal/transport/readyreader.(*nonBlockingReader).ReadOnReady
     0.02s   0.1% 32.03%      0.72s  3.65%  google.golang.org/protobuf/internal/impl.(*MessageInfo).unmarshal
     0.01s 0.051% 32.08%      0.72s  3.65%  os.(*File).Write
     0.01s 0.051% 32.13%      0.71s  3.60%  net.(*rawConn).Read
         0     0% 32.13%      0.71s  3.60%  os.(*File).write (inline)
     0.20s  1.02% 33.15%      0.71s  3.60%  runtime.pcvalue
     0.01s 0.051% 33.20%      0.70s  3.55%  google.golang.org/protobuf/internal/impl.(*MessageInfo).unmarshalPointer
     0.03s  0.15% 33.35%      0.70s  3.55%  internal/poll.(*FD).RawRead
         0     0% 33.35%      0.69s  3.50%  go.opentelemetry.io/otel/attribute.NewSet (inline)
     0.02s   0.1% 33.45%      0.69s  3.50%  go.opentelemetry.io/otel/attribute.NewSetWithFiltered
     0.09s  0.46% 33.91%      0.69s  3.50%  google.golang.org/protobuf/internal/impl.(*MessageInfo).unmarshalPointerEager
     0.02s   0.1% 34.01%      0.68s  3.45%  go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc.(*clientHandler).HandleRPC
     0.01s 0.051% 34.06%      0.65s  3.30%  google.golang.org/grpc.(*clientStream).finish
     0.16s  0.81% 34.87%      0.65s  3.30%  runtime.adjustframe
         0     0% 34.87%      0.63s  3.20%  runtime.futexwakeup
     0.13s  0.66% 35.53%      0.63s  3.20%  runtime.netpoll
     0.02s   0.1% 35.63%      0.62s  3.15%  google.golang.org/grpc.(*csAttempt).finish
     0.01s 0.051% 35.69%      0.62s  3.15%  google.golang.org/grpc/internal/transport/readyreader.NewNonBlocking.func1
         0     0% 35.69%      0.62s  3.15%  google.golang.org/protobuf/proto.MarshalOptions.Size
         0     0% 35.69%      0.62s  3.15%  google.golang.org/protobuf/proto.Size (inline)
         0     0% 35.69%      0.62s  3.15%  runtime.notewakeup
         0     0% 35.69%      0.61s  3.10%  google.golang.org/grpc.newClientStream
         0     0% 35.69%      0.60s  3.05%  google.golang.org/protobuf/proto.MarshalOptions.size
     0.02s   0.1% 35.79%      0.59s  2.99%  go.opentelemetry.io/otel/attribute.newSet
     0.01s 0.051% 35.84%      0.59s  2.99%  google.golang.org/protobuf/internal/impl.(*MessageInfo).size
     0.04s   0.2% 36.04%      0.59s  2.99%  log/slog.(*handleState).appendString
         0     0% 36.04%      0.58s  2.94%  google.golang.org/grpc/internal/transport.(*loopyWriter).handle
         0     0% 36.04%      0.58s  2.94%  google.golang.org/protobuf/internal/impl.(*MessageInfo).sizePointer
     0.14s  0.71% 36.75%      0.58s  2.94%  google.golang.org/protobuf/internal/impl.(*MessageInfo).sizePointerSlow
         0     0% 36.75%      0.57s  2.89%  google.golang.org/grpc/internal/transport/readyreader.sysRead (inline)
         0     0% 36.75%      0.56s  2.84%  google.golang.org/grpc.newClientStream.func3
     0.01s 0.051% 36.80%      0.56s  2.84%  google.golang.org/grpc.newClientStreamWithParams
     0.03s  0.15% 36.95%      0.56s  2.84%  log/slog.(*handleState).appendKey
     0.09s  0.46% 37.41%      0.54s  2.74%  log/slog.appendEscapedJSONString
     0.01s 0.051% 37.46%      0.53s  2.69%  go.opentelemetry.io/otel/attribute.hashKVs
         0     0% 37.46%      0.53s  2.69%  runtime.wakep
     0.04s   0.2% 37.66%      0.52s  2.64%  bufio.(*Reader).Read
     0.01s 0.051% 37.72%      0.50s  2.54%  go.opentelemetry.io/otel/attribute.hashKV
     0.02s   0.1% 37.82%      0.50s  2.54%  internal/runtime/syscall/linux.EpollWait
     0.02s   0.1% 37.92%      0.50s  2.54%  runtime.mallocgcSmallScanNoHeader
     0.01s 0.051% 37.97%      0.49s  2.49%  golang.org/x/net/http2.(*Framer).ReadFrameForHeader
         0     0% 37.97%      0.49s  2.49%  runtime.gcBgMarkWorker
         0     0% 37.97%      0.49s  2.49%  runtime.gcBgMarkWorker.func2
     0.01s 0.051% 38.02%      0.49s  2.49%  runtime.gcDrain
     0.01s 0.051% 38.07%      0.48s  2.44%  go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc.(*serverHandler).TagRPC
     0.01s 0.051% 38.12%      0.48s  2.44%  google.golang.org/protobuf/internal/impl.sizeMessageInfo
         0     0% 38.12%      0.47s  2.39%  crypto/tls.(*Conn).Read
         0     0% 38.12%      0.46s  2.34%  runtime.(*unwinder).next
     0.02s   0.1% 38.22%      0.45s  2.28%  go.opentelemetry.io/otel/sdk/trace.(*tracer).Start
     0.01s 0.051% 38.27%      0.45s  2.28%  google.golang.org/grpc/internal/transport.(*controlBuffer).executeAndPut
     0.01s 0.051% 38.32%      0.45s  2.28%  runtime.goready (inline)
     0.01s 0.051% 38.38%      0.45s  2.28%  runtime.startm
         0     0% 38.38%      0.44s  2.23%  _.goready.func1
         0     0% 38.38%      0.44s  2.23%  crypto/tls.(*Conn).readRecord (inline)
     0.02s   0.1% 38.48%      0.44s  2.23%  crypto/tls.(*Conn).readRecordOrCCS
     0.03s  0.15% 38.63%      0.44s  2.23%  go.opentelemetry.io/otel/attribute.hashValue
     0.01s 0.051% 38.68%      0.44s  2.23%  runtime.ready
         0     0% 38.68%      0.42s  2.13%  google.golang.org/protobuf/proto.MarshalOptions.Marshal
     0.02s   0.1% 38.78%      0.42s  2.13%  google.golang.org/protobuf/proto.MarshalOptions.marshal
     0.17s  0.86% 39.64%      0.42s  2.13%  runtime.(*unwinder).resolveInternal
     0.02s   0.1% 39.75%      0.41s  2.08%  google.golang.org/grpc.recvAndDecompress
     0.35s  1.78% 41.52%      0.41s  2.08%  runtime.step
     0.02s   0.1% 41.62%      0.39s  1.98%  google.golang.org/grpc.(*parser).recvMsg
     0.03s  0.15% 41.78%      0.39s  1.98%  google.golang.org/protobuf/internal/impl.consumeMessageInfo
     0.06s   0.3% 42.08%      0.38s  1.93%  go.opentelemetry.io/otel/trace.SpanContextFromContext
     0.04s   0.2% 42.28%      0.37s  1.88%  go.opentelemetry.io/otel/sdk/trace.(*tracer).newSpan
         0     0% 42.28%      0.37s  1.88%  google.golang.org/protobuf/internal/impl.encoderFuncsForMap.func1
     0.01s 0.051% 42.34%      0.37s  1.88%  runtime.callers
