Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
grpc,CreateActor,1,0,1,1.0,1,1,0.0,0.008547008547008548,0.0,1,1,1,1,1,1,1,1,1,1,1
grpc,CreateAtespace,1,0,0,0.0,0,0,0.0,0.008547008547008548,0.0,0,0,0,0,0,0,0,0,0,0,0
http,GluttonChurnRAM,12,0,140,135.75,130,144,0.0,0.10256410256410256,0.0,140,140,140,140,140,140,140,140,140,140,140
http,GluttonFillRAM,1,0,8280,8280.0,8280,8280,0.0,0.008547008547008548,0.0,8300,8300,8300,8300,8300,8300,8300,8300,8300,8300,8300
http,GluttonPing,12,0,4,3.75,3,4,38.0,0.10256410256410256,0.0,4,4,4,4,4,4,4,4,4,4,4
http,GluttonReadRAM,12,0,3400,3101.1666666666665,11,3419,1073741824.0,0.10256410256410256,0.0,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400
grpc,ResumeActor,11,0,2800,2747.909090909091,2532,3018,0.0,0.09401709401709402,0.0,2800,2800,2900,2900,2900,3000,3000,3000,3000,3000,3000
grpc,ResumeActorColdStart,1,0,932,932.0,932,932,0.0,0.008547008547008548,0.0,930,930,930,930,930,930,930,930,930,930,930
grpc,SuspendActor,11,0,3200,3190.909090909091,3063,3314,0.0,0.09401709401709402,0.0,3200,3200,3300,3300,3300,3300,3300,3300,3300,3300,3300
,Aggregated,62,0,2600,1829.483870967742,0,8280,207821005.5483871,0.5299145299145299,0.0,2600,3100,3200,3300,3400,3400,3400,8300,8300,8300,8300
