File: tarutil.test
Build ID: d7447a1c7c8916ad9b2e608e21a3f4b341db44be
Type: cpu
Time: 2026-09-18 03:26:30 UTC
Duration: 144.63ms, Total samples = 90ms (62.23%)
Showing nodes accounting for 90ms, 100% of 90ms total
Showing top 30 nodes out of 67
      flat  flat%   sum%        cum   cum%
      70ms 77.78% 77.78%       70ms 77.78%  internal/runtime/syscall/linux.Syscall6
      10ms 11.11% 88.89%       10ms 11.11%  archive/tar.mergePAX
      10ms 11.11%   100%       10ms 11.11%  internal/sync.(*Mutex).Unlock (inline)
         0     0%   100%       10ms 11.11%  archive/tar.(*Reader).Next
         0     0%   100%       10ms 11.11%  archive/tar.(*Reader).next
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkCreate
         0     0%   100%       60ms 66.67%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkExtract
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.Create (inline)
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.CreateFiltered
         0     0%   100%       50ms 55.56%  github.com/agent-substrate/substrate/internal/tarutil.Extract
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.copyFileInto
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.copyPooled
         0     0%   100%       40ms 44.44%  github.com/agent-substrate/substrate/internal/tarutil.extractEntry
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.replaceExisting
         0     0%   100%       20ms 22.22%  github.com/agent-substrate/substrate/internal/tarutil.restoreMeta
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.writeTree
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.writeTree.func1
         0     0%   100%       10ms 11.11%  internal/poll.(*FD).Write
         0     0%   100%       10ms 11.11%  internal/poll.ignoringEINTRIO (inline)
         0     0%   100%       10ms 11.11%  internal/syscall/unix.Fstatat
         0     0%   100%       10ms 11.11%  internal/syscall/unix.Openat
         0     0%   100%       30ms 33.33%  internal/syscall/unix.Unlinkat
         0     0%   100%       10ms 11.11%  io.CopyBuffer
         0     0%   100%       10ms 11.11%  io.copyBuffer
         0     0%   100%       10ms 11.11%  os.(*File).Write
         0     0%   100%       10ms 11.11%  os.(*File).write (inline)
         0     0%   100%       10ms 11.11%  os.(*Root).Chmod (inline)
         0     0%   100%       10ms 11.11%  os.(*Root).Chtimes (inline)
         0     0%   100%       10ms 11.11%  os.(*Root).Lstat
         0     0%   100%       10ms 11.11%  os.(*root).decref
