File: tarutil.test
Build ID: b24c9837dc83547383092199b43eb8c30cb1bf93
Type: cpu
Time: 2026-09-18 04:22:58 UTC
Duration: 146.52ms, Total samples = 100ms (68.25%)
Showing nodes accounting for 100ms, 100% of 100ms total
Showing top 30 nodes out of 67
      flat  flat%   sum%        cum   cum%
      80ms 80.00% 80.00%       80ms 80.00%  internal/runtime/syscall/linux.Syscall6
      10ms 10.00% 90.00%       10ms 10.00%  internal/filepathlite.(*lazybuf).append (inline)
      10ms 10.00%   100%       10ms 10.00%  runtime.mallocgcSmallNoScanSC6
         0     0%   100%       20ms 20.00%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkCreate
         0     0%   100%       70ms 70.00%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkExtract
         0     0%   100%       20ms 20.00%  github.com/agent-substrate/substrate/internal/tarutil.Create (inline)
         0     0%   100%       20ms 20.00%  github.com/agent-substrate/substrate/internal/tarutil.CreateFiltered
         0     0%   100%       30ms 30.00%  github.com/agent-substrate/substrate/internal/tarutil.Extract
         0     0%   100%       30ms 30.00%  github.com/agent-substrate/substrate/internal/tarutil.extractEntry
         0     0%   100%       20ms 20.00%  github.com/agent-substrate/substrate/internal/tarutil.writeTree
         0     0%   100%       10ms 10.00%  github.com/agent-substrate/substrate/internal/tarutil.writeTree.func1
         0     0%   100%       10ms 10.00%  internal/bytealg.MakeNoZero
         0     0%   100%       10ms 10.00%  internal/filepathlite.Clean
         0     0%   100%       10ms 10.00%  internal/poll.(*FD).Close
         0     0%   100%       10ms 10.00%  internal/poll.(*FD).decref
         0     0%   100%       10ms 10.00%  internal/poll.(*FD).destroy
         0     0%   100%       10ms 10.00%  internal/poll.(*SysFile).destroy (inline)
         0     0%   100%       10ms 10.00%  internal/syscall/unix.Openat
         0     0%   100%       30ms 30.00%  internal/syscall/unix.Unlinkat
         0     0%   100%       10ms 10.00%  os.(*File).Close (inline)
         0     0%   100%       20ms 20.00%  os.(*Root).OpenFile
         0     0%   100%       10ms 10.00%  os.(*file).close
         0     0%   100%       10ms 10.00%  os.Mkdir (inline)
         0     0%   100%       10ms 10.00%  os.Mkdir.func1 (inline)
         0     0%   100%       10ms 10.00%  os.MkdirAll
         0     0%   100%       10ms 10.00%  os.OpenFile
         0     0%   100%       30ms 30.00%  os.RemoveAll (inline)
         0     0%   100%       10ms 10.00%  os.WriteFile
         0     0%   100%       20ms 20.00%  os.doInRoot[go.shape.int]
         0     0%   100%       10ms 10.00%  os.doInRoot[go.shape.int].func1
