File: ategcs.test
Build ID: 41c13e45188d5034e608ef6c350c7b274e4e1dad
Type: cpu
Time: 2026-09-18 04:29:30 UTC
Duration: 408.43ms, Total samples = 350ms (85.69%)
Showing nodes accounting for 350ms, 100% of 350ms total
Showing top 30 nodes out of 74
      flat  flat%   sum%        cum   cum%
     100ms 28.57% 28.57%      100ms 28.57%  internal/runtime/syscall/linux.Syscall6
     100ms 28.57% 57.14%      100ms 28.57%  runtime.memmove
      60ms 17.14% 74.29%       60ms 17.14%  github.com/klauspost/compress/zstd.sequenceDecs_decodeSync_safe_bmi2
      30ms  8.57% 82.86%       80ms 22.86%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.writeSparseSourceTB
      20ms  5.71% 88.57%       20ms  5.71%  github.com/klauspost/compress/zstd.matchLen
      20ms  5.71% 94.29%       20ms  5.71%  github.com/klauspost/compress/zstd/internal/xxhash.writeBlocks
      10ms  2.86% 97.14%       10ms  2.86%  runtime.memclrNoHeapPointers
      10ms  2.86%   100%       10ms  2.86%  runtime.tryDeferToSpanScan
         0     0%   100%       20ms  5.71%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.(*parZstd).Write
         0     0%   100%       90ms 25.71%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.(*parZstd).worker
         0     0%   100%      170ms 48.57%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.BenchmarkReadSparseZstd
         0     0%   100%       80ms 22.86%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.BenchmarkWriteSparseZstd
         0     0%   100%      120ms 34.29%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.readSparseZstd
         0     0%   100%       50ms 14.29%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.writeSparseZstd
         0     0%   100%       90ms 25.71%  github.com/klauspost/compress/zstd.(*Decoder).Read
         0     0%   100%       80ms 22.86%  github.com/klauspost/compress/zstd.(*Decoder).nextBlock
         0     0%   100%       80ms 22.86%  github.com/klauspost/compress/zstd.(*Decoder).nextBlockSync
         0     0%   100%       90ms 25.71%  github.com/klauspost/compress/zstd.(*Encoder).EncodeAll
         0     0%   100%       90ms 25.71%  github.com/klauspost/compress/zstd.(*Encoder).encodeAll
         0     0%   100%       60ms 17.14%  github.com/klauspost/compress/zstd.(*blockDec).decodeBuf
         0     0%   100%       60ms 17.14%  github.com/klauspost/compress/zstd.(*blockDec).decodeCompressed
         0     0%   100%       50ms 14.29%  github.com/klauspost/compress/zstd.(*fastBase).addBlock
         0     0%   100%       20ms  5.71%  github.com/klauspost/compress/zstd.(*fastBase).matchlen (inline)
         0     0%   100%       70ms 20.00%  github.com/klauspost/compress/zstd.(*fastEncoder).Encode
         0     0%   100%       20ms  5.71%  github.com/klauspost/compress/zstd.(*history).ensureBlock (inline)
         0     0%   100%       60ms 17.14%  github.com/klauspost/compress/zstd.(*sequenceDecs).decodeSync
         0     0%   100%       60ms 17.14%  github.com/klauspost/compress/zstd.(*sequenceDecs).decodeSyncSimple
         0     0%   100%       60ms 17.14%  github.com/klauspost/compress/zstd.decodeSyncAsm
         0     0%   100%       20ms  5.71%  github.com/klauspost/compress/zstd/internal/xxhash.(*Digest).Write
         0     0%   100%       20ms  5.71%  internal/poll.(*FD).Fsync
