File: tarutil.test
Build ID: 8e2fe5db4d65b8756590880c71dcd4220cfd9693
Type: alloc_space
Time: 2026-09-18 04:29:36 UTC
Showing nodes accounting for 9110.08kB, 100% of 9110.08kB total
Showing top 30 nodes out of 82
      flat  flat%   sum%        cum   cum%
 1184.27kB 13.00% 13.00%  1184.27kB 13.00%  runtime/pprof.StartCPUProfile
 1025.56kB 11.26% 24.26%  1025.56kB 11.26%  runtime.mallocgc
 1024.22kB 11.24% 35.50%  1024.22kB 11.24%  archive/tar.(*Reader).readHeader
 1024.05kB 11.24% 46.74%  1024.05kB 11.24%  testing.(*B).ResetTimer
  688.56kB  7.56% 54.30%   688.56kB  7.56%  compress/flate.(*fastGen).addBlock
  578.66kB  6.35% 60.65%   578.66kB  6.35%  github.com/agent-substrate/substrate/internal/tarutil.init.func3
  512.44kB  5.62% 66.28%  2048.62kB 22.49%  github.com/agent-substrate/substrate/internal/tarutil.extractEntry
  512.10kB  5.62% 71.90%   512.10kB  5.62%  os.lstatNolog
  512.10kB  5.62% 77.52%   512.10kB  5.62%  os.lstatatWithName
  512.06kB  5.62% 83.14%  1024.07kB 11.24%  os.readlinkat
  512.03kB  5.62% 88.76%  1024.13kB 11.24%  os.(*unixDirent).Info
  512.02kB  5.62% 94.38%   512.02kB  5.62%  os.splitPathInRoot
  512.01kB  5.62%   100%   512.01kB  5.62%  syscall.ByteSliceFromString
         0     0%   100%  1024.22kB 11.24%  archive/tar.(*Reader).Next
         0     0%   100%  1024.22kB 11.24%  archive/tar.(*Reader).next
         0     0%   100%   688.56kB  7.56%  compress/flate.(*Writer).Close (inline)
         0     0%   100%   688.56kB  7.56%  compress/flate.(*compressor).close
         0     0%   100%   688.56kB  7.56%  compress/flate.(*compressor).deflateFast
         0     0%   100%   688.56kB  7.56%  compress/flate.(*fastEncL1).encode
         0     0%   100%   688.56kB  7.56%  compress/gzip.(*Writer).Close
         0     0%   100%  1024.13kB 11.24%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkCreate
         0     0%   100%  4163.51kB 45.70%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkExtract
         0     0%   100%  1602.80kB 17.59%  github.com/agent-substrate/substrate/internal/tarutil.Create (inline)
         0     0%   100%  1602.80kB 17.59%  github.com/agent-substrate/substrate/internal/tarutil.CreateFiltered
         0     0%   100%  3584.84kB 39.35%  github.com/agent-substrate/substrate/internal/tarutil.Extract
         0     0%   100%   578.66kB  6.35%  github.com/agent-substrate/substrate/internal/tarutil.copyFileInto
         0     0%   100%   578.66kB  6.35%  github.com/agent-substrate/substrate/internal/tarutil.copyPooled
         0     0%   100%  1024.12kB 11.24%  github.com/agent-substrate/substrate/internal/tarutil.replaceExisting
         0     0%   100%   512.01kB  5.62%  github.com/agent-substrate/substrate/internal/tarutil.restoreDirMeta
         0     0%   100%  1024.07kB 11.24%  github.com/agent-substrate/substrate/internal/tarutil.restoreMeta
