File: ategcs.test
Build ID: 41c13e45188d5034e608ef6c350c7b274e4e1dad
Type: cpu
Time: 2026-09-18 04:29:34 UTC
Duration: 417.60ms, Total samples = 340ms (81.42%)
Showing nodes accounting for 340ms, 100% of 340ms total
Showing top 30 nodes out of 82
      flat  flat%   sum%        cum   cum%
     120ms 35.29% 35.29%      120ms 35.29%  runtime.memmove
     100ms 29.41% 64.71%      100ms 29.41%  internal/runtime/syscall/linux.Syscall6
      30ms  8.82% 73.53%       30ms  8.82%  github.com/klauspost/compress/zstd.sequenceDecs_decodeSync_safe_bmi2
      30ms  8.82% 82.35%       30ms  8.82%  github.com/klauspost/compress/zstd/internal/xxhash.writeBlocks
      20ms  5.88% 88.24%       60ms 17.65%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.writeSparseSourceTB
      10ms  2.94% 91.18%       30ms  8.82%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.(*parZstd).Write
      10ms  2.94% 94.12%       10ms  2.94%  internal/runtime/atomic.(*UnsafePointer).StoreNoWB
      10ms  2.94% 97.06%       10ms  2.94%  runtime.memclrNoHeapPointers
      10ms  2.94%   100%       10ms  2.94%  runtime.typePointers.next
         0     0%   100%      100ms 29.41%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.(*parZstd).worker
         0     0%   100%      150ms 44.12%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.BenchmarkReadSparseZstd
         0     0%   100%       70ms 20.59%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.BenchmarkWriteSparseZstd
         0     0%   100%       90ms 26.47%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.readSparseZstd
         0     0%   100%       50ms 14.71%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.writeSparseZstd
         0     0%   100%       70ms 20.59%  github.com/klauspost/compress/zstd.(*Decoder).Read
         0     0%   100%       70ms 20.59%  github.com/klauspost/compress/zstd.(*Decoder).nextBlock
         0     0%   100%       70ms 20.59%  github.com/klauspost/compress/zstd.(*Decoder).nextBlockSync
         0     0%   100%      100ms 29.41%  github.com/klauspost/compress/zstd.(*Encoder).EncodeAll
         0     0%   100%      100ms 29.41%  github.com/klauspost/compress/zstd.(*Encoder).encodeAll
         0     0%   100%       30ms  8.82%  github.com/klauspost/compress/zstd.(*blockDec).decodeBuf
         0     0%   100%       30ms  8.82%  github.com/klauspost/compress/zstd.(*blockDec).decodeCompressed
         0     0%   100%       80ms 23.53%  github.com/klauspost/compress/zstd.(*fastBase).addBlock
         0     0%   100%       10ms  2.94%  github.com/klauspost/compress/zstd.(*fastBase).ensureHist (inline)
         0     0%   100%       80ms 23.53%  github.com/klauspost/compress/zstd.(*fastEncoder).Encode
         0     0%   100%       30ms  8.82%  github.com/klauspost/compress/zstd.(*history).ensureBlock (inline)
         0     0%   100%       30ms  8.82%  github.com/klauspost/compress/zstd.(*sequenceDecs).decodeSync
         0     0%   100%       30ms  8.82%  github.com/klauspost/compress/zstd.(*sequenceDecs).decodeSyncSimple
         0     0%   100%       30ms  8.82%  github.com/klauspost/compress/zstd.decodeSyncAsm
         0     0%   100%       30ms  8.82%  github.com/klauspost/compress/zstd/internal/xxhash.(*Digest).Write
         0     0%   100%       10ms  2.94%  internal/poll.(*FD).Fsync
