File: tarutil.test
Build ID: 9f1e870dd5d4296f097fc51a022d598a1d919ab4
Type: cpu
Time: 2026-09-18 05:08:47 UTC
Duration: 145.86ms, Total samples = 100ms (68.56%)
Showing nodes accounting for 100ms, 100% of 100ms total
Showing top 30 nodes out of 64
      flat  flat%   sum%        cum   cum%
      90ms 90.00% 90.00%       90ms 90.00%  internal/runtime/syscall/linux.Syscall6
      10ms 10.00%   100%       10ms 10.00%  runtime.ifaceeq
         0     0%   100%       10ms 10.00%  archive/tar.(*Reader).Read
         0     0%   100%       20ms 20.00%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkCreate
         0     0%   100%       70ms 70.00%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkExtract
         0     0%   100%       10ms 10.00%  github.com/agent-substrate/substrate/internal/tarutil.Create (inline)
         0     0%   100%       10ms 10.00%  github.com/agent-substrate/substrate/internal/tarutil.CreateFiltered
         0     0%   100%       50ms 50.00%  github.com/agent-substrate/substrate/internal/tarutil.Extract
         0     0%   100%       10ms 10.00%  github.com/agent-substrate/substrate/internal/tarutil.copyPooled
         0     0%   100%       40ms 40.00%  github.com/agent-substrate/substrate/internal/tarutil.extractEntry
         0     0%   100%       10ms 10.00%  github.com/agent-substrate/substrate/internal/tarutil.replaceExisting
         0     0%   100%       10ms 10.00%  github.com/agent-substrate/substrate/internal/tarutil.writeTree
         0     0%   100%       10ms 10.00%  github.com/agent-substrate/substrate/internal/tarutil.writeTree.func1
         0     0%   100%       10ms 10.00%  internal/syscall/unix.Fstatat
         0     0%   100%       20ms 20.00%  internal/syscall/unix.Openat
         0     0%   100%       20ms 20.00%  internal/syscall/unix.Unlinkat
         0     0%   100%       10ms 10.00%  io.CopyBuffer
         0     0%   100%       10ms 10.00%  io.copyBuffer
         0     0%   100%       10ms 10.00%  os.(*Root).Lstat
         0     0%   100%       20ms 20.00%  os.(*Root).OpenFile
         0     0%   100%       10ms 10.00%  os.(*unixDirent).Info
         0     0%   100%       10ms 10.00%  os.Lstat
         0     0%   100%       10ms 10.00%  os.Open (inline)
         0     0%   100%       30ms 30.00%  os.OpenFile
         0     0%   100%       20ms 20.00%  os.RemoveAll (inline)
         0     0%   100%       20ms 20.00%  os.WriteFile
         0     0%   100%       20ms 20.00%  os.doInRoot[go.shape.int]
         0     0%   100%       10ms 10.00%  os.doInRoot[go.shape.interface { IsDir bool; ModTime time.Time; Mode io/fs.FileMode; Name string; Size int64; Sys interface {} }]
         0     0%   100%       70ms 70.00%  os.ignoringEINTR (inline)
         0     0%   100%       10ms 10.00%  os.lstatNolog
