File: ategcs.test
Build ID: 0ce1bd45ce73c2c4e3600154c336bf6d4f85229d
Type: cpu
Time: 2026-09-18 13:58:50 UTC
Duration: 395.20ms, Total samples = 350ms (88.56%)
Showing nodes accounting for 350ms, 100% of 350ms total
Showing top 30 nodes out of 93
      flat  flat%   sum%        cum   cum%
     100ms 28.57% 28.57%      100ms 28.57%  runtime.memmove
      70ms 20.00% 48.57%       70ms 20.00%  internal/runtime/syscall/linux.Syscall6
      50ms 14.29% 62.86%       70ms 20.00%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.writeSparseSourceTB
      30ms  8.57% 71.43%       30ms  8.57%  github.com/klauspost/compress/zstd.sequenceDecs_decodeSync_safe_bmi2
      30ms  8.57% 80.00%       30ms  8.57%  runtime.memclrNoHeapPointers
      20ms  5.71% 85.71%       20ms  5.71%  github.com/klauspost/compress/zstd.matchLen
      20ms  5.71% 91.43%       20ms  5.71%  github.com/klauspost/compress/zstd/internal/xxhash.writeBlocks
      10ms  2.86% 94.29%       10ms  2.86%  os.(*File).wrapErr
      10ms  2.86% 97.14%       10ms  2.86%  runtime.arenaIndex
      10ms  2.86%   100%       10ms  2.86%  runtime.exitsyscall
         0     0%   100%       20ms  5.71%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.(*parZstd).Write
         0     0%   100%       80ms 22.86%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.(*parZstd).worker
         0     0%   100%      160ms 45.71%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.BenchmarkReadSparseZstd
         0     0%   100%       90ms 25.71%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.BenchmarkWriteSparseZstd
         0     0%   100%       10ms  2.86%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.init.func1
         0     0%   100%       10ms  2.86%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.init.func2
         0     0%   100%       10ms  2.86%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.newParZstd
         0     0%   100%      120ms 34.29%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.readSparseZstd
         0     0%   100%       60ms 17.14%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.writeSparseZstd
         0     0%   100%       90ms 25.71%  github.com/klauspost/compress/zstd.(*Decoder).Read
         0     0%   100%       90ms 25.71%  github.com/klauspost/compress/zstd.(*Decoder).nextBlock
         0     0%   100%       90ms 25.71%  github.com/klauspost/compress/zstd.(*Decoder).nextBlockSync
         0     0%   100%       70ms 20.00%  github.com/klauspost/compress/zstd.(*Encoder).EncodeAll
         0     0%   100%       70ms 20.00%  github.com/klauspost/compress/zstd.(*Encoder).encodeAll
         0     0%   100%       30ms  8.57%  github.com/klauspost/compress/zstd.(*blockDec).decodeBuf
         0     0%   100%       30ms  8.57%  github.com/klauspost/compress/zstd.(*blockDec).decodeCompressed
         0     0%   100%       40ms 11.43%  github.com/klauspost/compress/zstd.(*fastBase).addBlock
         0     0%   100%       10ms  2.86%  github.com/klauspost/compress/zstd.(*fastBase).ensureHist (inline)
         0     0%   100%       20ms  5.71%  github.com/klauspost/compress/zstd.(*fastBase).matchlen (inline)
         0     0%   100%       60ms 17.14%  github.com/klauspost/compress/zstd.(*fastEncoder).Encode
