File: tarutil.test
Build ID: 5c7eea3494404485ed013c3a44cbccf26deeeec6
Type: cpu
Time: 2026-09-18 14:03:38 UTC
Duration: 146ms, Total samples = 90ms (61.64%)
Showing nodes accounting for 90ms, 100% of 90ms total
Showing top 30 nodes out of 59
      flat  flat%   sum%        cum   cum%
      90ms   100%   100%       90ms   100%  internal/runtime/syscall/linux.Syscall6
         0     0%   100%       10ms 11.11%  bufio.(*Writer).Flush
         0     0%   100%       20ms 22.22%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkCreate
         0     0%   100%       70ms 77.78%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkExtract
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.Create (inline)
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.CreateFiltered
         0     0%   100%       40ms 44.44%  github.com/agent-substrate/substrate/internal/tarutil.Extract
         0     0%   100%       40ms 44.44%  github.com/agent-substrate/substrate/internal/tarutil.extractEntry
         0     0%   100%       20ms 22.22%  github.com/agent-substrate/substrate/internal/tarutil.replaceExisting
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.restoreMeta
         0     0%   100%       20ms 22.22%  internal/poll.(*FD).Write
         0     0%   100%       20ms 22.22%  internal/poll.ignoringEINTRIO (inline)
         0     0%   100%       20ms 22.22%  internal/syscall/unix.Fstatat
         0     0%   100%       10ms 11.11%  internal/syscall/unix.Openat
         0     0%   100%       20ms 22.22%  internal/syscall/unix.Unlinkat
         0     0%   100%       20ms 22.22%  os.(*File).Write
         0     0%   100%       20ms 22.22%  os.(*File).write (inline)
         0     0%   100%       10ms 11.11%  os.(*Root).Chtimes (inline)
         0     0%   100%       20ms 22.22%  os.(*Root).Lstat
         0     0%   100%       10ms 11.11%  os.(*Root).OpenFile
         0     0%   100%       10ms 11.11%  os.OpenFile
         0     0%   100%       20ms 22.22%  os.RemoveAll (inline)
         0     0%   100%       20ms 22.22%  os.WriteFile
         0     0%   100%       10ms 11.11%  os.afterResolvingSymlink
         0     0%   100%       10ms 11.11%  os.chtimesat (inline)
         0     0%   100%       10ms 11.11%  os.chtimesat.1
         0     0%   100%       10ms 11.11%  os.chtimesat.1.1
         0     0%   100%       10ms 11.11%  os.doInRoot[go.shape.int]
         0     0%   100%       20ms 22.22%  os.doInRoot[go.shape.interface { IsDir bool; ModTime time.Time; Mode io/fs.FileMode; Name string; Size int64; Sys interface {} }]
         0     0%   100%       10ms 11.11%  os.doInRoot[go.shape.struct {}]
