File: tarutil.test
Build ID: 5357fa83a8829f4c0d40f820e8be6d8547c2dd88
Type: cpu
Time: 2026-09-19 01:20:54 UTC
Duration: 147.23ms, Total samples = 80ms (54.34%)
Showing nodes accounting for 80ms, 100% of 80ms total
Showing top 30 nodes out of 73
      flat  flat%   sum%        cum   cum%
      60ms 75.00% 75.00%       60ms 75.00%  internal/runtime/syscall/linux.Syscall6
      10ms 12.50% 87.50%       10ms 12.50%  archive/tar.(*block).computeChecksum (inline)
      10ms 12.50%   100%       30ms 37.50%  syscall.Syscall
         0     0%   100%       10ms 12.50%  archive/tar.(*Reader).Next
         0     0%   100%       10ms 12.50%  archive/tar.(*Reader).next
         0     0%   100%       10ms 12.50%  archive/tar.(*Reader).readHeader
         0     0%   100%       10ms 12.50%  archive/tar.(*block).getFormat
         0     0%   100%       10ms 12.50%  github.com/agent-substrate/substrate/internal/tarutil.(*readerOnly).Read
         0     0%   100%       10ms 12.50%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkCreate
         0     0%   100%       70ms 87.50%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkExtract
         0     0%   100%       20ms 25.00%  github.com/agent-substrate/substrate/internal/tarutil.Create (inline)
         0     0%   100%       20ms 25.00%  github.com/agent-substrate/substrate/internal/tarutil.CreateFiltered
         0     0%   100%       50ms 62.50%  github.com/agent-substrate/substrate/internal/tarutil.Extract
         0     0%   100%       10ms 12.50%  github.com/agent-substrate/substrate/internal/tarutil.copyFileInto
         0     0%   100%       10ms 12.50%  github.com/agent-substrate/substrate/internal/tarutil.copyPooled
         0     0%   100%       40ms 50.00%  github.com/agent-substrate/substrate/internal/tarutil.extractEntry
         0     0%   100%       10ms 12.50%  github.com/agent-substrate/substrate/internal/tarutil.lchownEntry
         0     0%   100%       40ms 50.00%  github.com/agent-substrate/substrate/internal/tarutil.restoreMeta
         0     0%   100%       20ms 25.00%  github.com/agent-substrate/substrate/internal/tarutil.writeTree
         0     0%   100%       10ms 12.50%  github.com/agent-substrate/substrate/internal/tarutil.writeTree.func1
         0     0%   100%       10ms 12.50%  internal/poll.(*FD).Close
         0     0%   100%       10ms 12.50%  internal/poll.(*FD).Read
         0     0%   100%       10ms 12.50%  internal/poll.(*FD).decref
         0     0%   100%       10ms 12.50%  internal/poll.(*FD).destroy
         0     0%   100%       10ms 12.50%  internal/poll.(*SysFile).destroy (inline)
         0     0%   100%       10ms 12.50%  internal/poll.ignoringEINTRIO (inline)
         0     0%   100%       10ms 12.50%  internal/syscall/unix.Fchmodat
         0     0%   100%       20ms 25.00%  internal/syscall/unix.Openat
         0     0%   100%       10ms 12.50%  internal/syscall/unix.Unlinkat
         0     0%   100%       10ms 12.50%  io.CopyBuffer
