File: tarutil.test
Build ID: 84969c7fd3301c9f10946809187a046ab5efede6
Type: cpu
Time: 2026-09-19 01:19:17 UTC
Duration: 149.27ms, Total samples = 90ms (60.29%)
Showing nodes accounting for 90ms, 100% of 90ms total
Showing top 30 nodes out of 75
      flat  flat%   sum%        cum   cum%
      60ms 66.67% 66.67%       60ms 66.67%  internal/runtime/syscall/linux.Syscall6
      10ms 11.11% 77.78%       10ms 11.11%  bytes.Trim
      10ms 11.11% 88.89%       10ms 11.11%  runtime.lock2
      10ms 11.11%   100%       10ms 11.11%  runtime.mallocgcSmallScanNoHeader
         0     0%   100%       10ms 11.11%  archive/tar.(*Reader).Next
         0     0%   100%       10ms 11.11%  archive/tar.(*Reader).next
         0     0%   100%       10ms 11.11%  archive/tar.(*Reader).readHeader
         0     0%   100%       10ms 11.11%  archive/tar.(*parser).parseNumeric
         0     0%   100%       10ms 11.11%  archive/tar.(*parser).parseOctal
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.(*readerOnly).Read
         0     0%   100%       20ms 22.22%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkCreate
         0     0%   100%       50ms 55.56%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkExtract
         0     0%   100%       30ms 33.33%  github.com/agent-substrate/substrate/internal/tarutil.Create (inline)
         0     0%   100%       30ms 33.33%  github.com/agent-substrate/substrate/internal/tarutil.CreateFiltered
         0     0%   100%       20ms 22.22%  github.com/agent-substrate/substrate/internal/tarutil.Extract
         0     0%   100%       20ms 22.22%  github.com/agent-substrate/substrate/internal/tarutil.copyFileInto
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.copyPooled
         0     0%   100%       10ms 11.11%  github.com/agent-substrate/substrate/internal/tarutil.extractEntry
         0     0%   100%       30ms 33.33%  github.com/agent-substrate/substrate/internal/tarutil.writeTree
         0     0%   100%       30ms 33.33%  github.com/agent-substrate/substrate/internal/tarutil.writeTree.func1
         0     0%   100%       10ms 11.11%  internal/poll.(*FD).Init
         0     0%   100%       10ms 11.11%  internal/poll.(*FD).Read
         0     0%   100%       10ms 11.11%  internal/poll.(*pollDesc).init
         0     0%   100%       10ms 11.11%  internal/poll.ignoringEINTRIO (inline)
         0     0%   100%       10ms 11.11%  internal/poll.runtime_pollOpen
         0     0%   100%       10ms 11.11%  internal/syscall/unix.Openat
         0     0%   100%       30ms 33.33%  internal/syscall/unix.Unlinkat
         0     0%   100%       10ms 11.11%  io.CopyBuffer
         0     0%   100%       10ms 11.11%  io.copyBuffer
         0     0%   100%       10ms 11.11%  os.(*File).Read
