File: ategcs.test
Build ID: eff57e717d3c2e915215f15d0d448863bd8076f4
Type: cpu
Time: 2026-09-19 01:29:16 UTC
Duration: 389.69ms, Total samples = 320ms (82.12%)
Showing nodes accounting for 320ms, 100% of 320ms total
Showing top 30 nodes out of 104
      flat  flat%   sum%        cum   cum%
      90ms 28.12% 28.12%       90ms 28.12%  internal/runtime/syscall/linux.Syscall6
      50ms 15.62% 43.75%       50ms 15.62%  github.com/klauspost/compress/zstd.matchLen
      50ms 15.62% 59.38%       50ms 15.62%  runtime.memmove
      40ms 12.50% 71.88%       40ms 12.50%  github.com/klauspost/compress/zstd.sequenceDecs_decodeSync_safe_bmi2
      30ms  9.38% 81.25%       80ms 25.00%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.writeSparseSourceTB
      30ms  9.38% 90.62%       30ms  9.38%  runtime.memclrNoHeapPointers
      10ms  3.12% 93.75%       10ms  3.12%  github.com/klauspost/compress/zstd/internal/xxhash.writeBlocks
      10ms  3.12% 96.88%       10ms  3.12%  runtime.(*spanSet).push
      10ms  3.12%   100%       10ms  3.12%  runtime.wbBufFlush1
         0     0%   100%       20ms  6.25%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.(*parZstd).Write
         0     0%   100%       90ms 28.12%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.(*parZstd).worker
         0     0%   100%      150ms 46.88%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.BenchmarkReadSparseZstd
         0     0%   100%       70ms 21.88%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.BenchmarkWriteSparseZstd
         0     0%   100%       10ms  3.12%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.init.func2
         0     0%   100%       90ms 28.12%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.readSparseZstd
         0     0%   100%       30ms  9.38%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.writeSparseZstd
         0     0%   100%       60ms 18.75%  github.com/klauspost/compress/zstd.(*Decoder).Read
         0     0%   100%       60ms 18.75%  github.com/klauspost/compress/zstd.(*Decoder).nextBlock
         0     0%   100%       60ms 18.75%  github.com/klauspost/compress/zstd.(*Decoder).nextBlockSync
         0     0%   100%       80ms 25.00%  github.com/klauspost/compress/zstd.(*Encoder).EncodeAll
         0     0%   100%       70ms 21.88%  github.com/klauspost/compress/zstd.(*Encoder).encodeAll
         0     0%   100%       10ms  3.12%  github.com/klauspost/compress/zstd.(*Encoder).initialize
         0     0%   100%       40ms 12.50%  github.com/klauspost/compress/zstd.(*blockDec).decodeBuf
         0     0%   100%       40ms 12.50%  github.com/klauspost/compress/zstd.(*blockDec).decodeCompressed
         0     0%   100%       20ms  6.25%  github.com/klauspost/compress/zstd.(*fastBase).addBlock
         0     0%   100%       50ms 15.62%  github.com/klauspost/compress/zstd.(*fastBase).matchlen (inline)
         0     0%   100%       70ms 21.88%  github.com/klauspost/compress/zstd.(*fastEncoder).Encode
         0     0%   100%       10ms  3.12%  github.com/klauspost/compress/zstd.(*history).ensureBlock (inline)
         0     0%   100%       40ms 12.50%  github.com/klauspost/compress/zstd.(*sequenceDecs).decodeSync
         0     0%   100%       40ms 12.50%  github.com/klauspost/compress/zstd.(*sequenceDecs).decodeSyncSimple
