File: ategcs.test
Build ID: f487bb7d24c6619dfb657413c76aef568f8cfadc
Type: cpu
Time: 2026-09-19 01:39:13 UTC
Duration: 383.02ms, Total samples = 320ms (83.55%)
Showing nodes accounting for 320ms, 100% of 320ms total
Showing top 30 nodes out of 91
      flat  flat%   sum%        cum   cum%
     110ms 34.38% 34.38%      110ms 34.38%  runtime.memmove
     100ms 31.25% 65.62%      100ms 31.25%  internal/runtime/syscall/linux.Syscall6
      30ms  9.38% 75.00%       50ms 15.62%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.writeSparseSourceTB
      30ms  9.38% 84.38%       30ms  9.38%  github.com/klauspost/compress/zstd/internal/xxhash.writeBlocks
      10ms  3.12% 87.50%       10ms  3.12%  github.com/klauspost/compress/zstd.sequenceDecs_decodeSync_safe_bmi2
      10ms  3.12% 90.62%      120ms 37.50%  io.copyBuffer
      10ms  3.12% 93.75%       10ms  3.12%  runtime.memclrNoHeapPointers
      10ms  3.12% 96.88%       10ms  3.12%  runtime.preemptone
      10ms  3.12%   100%       10ms  3.12%  runtime.scanObject
         0     0%   100%       10ms  3.12%  encoding/binary.Read
         0     0%   100%       20ms  6.25%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.(*parZstd).Write
         0     0%   100%       80ms 25.00%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.(*parZstd).worker
         0     0%   100%      150ms 46.88%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.BenchmarkReadSparseZstd
         0     0%   100%       50ms 15.62%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.BenchmarkWriteSparseZstd
         0     0%   100%       90ms 28.12%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.readSparseZstd
         0     0%   100%       40ms 12.50%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.writeSparseZstd
         0     0%   100%       60ms 18.75%  github.com/klauspost/compress/zstd.(*Decoder).Read
         0     0%   100%       60ms 18.75%  github.com/klauspost/compress/zstd.(*Decoder).nextBlock
         0     0%   100%       60ms 18.75%  github.com/klauspost/compress/zstd.(*Decoder).nextBlockSync
         0     0%   100%       80ms 25.00%  github.com/klauspost/compress/zstd.(*Encoder).EncodeAll
         0     0%   100%       80ms 25.00%  github.com/klauspost/compress/zstd.(*Encoder).encodeAll
         0     0%   100%       10ms  3.12%  github.com/klauspost/compress/zstd.(*blockDec).decodeBuf
         0     0%   100%       10ms  3.12%  github.com/klauspost/compress/zstd.(*blockDec).decodeCompressed
         0     0%   100%       50ms 15.62%  github.com/klauspost/compress/zstd.(*fastBase).addBlock
         0     0%   100%       50ms 15.62%  github.com/klauspost/compress/zstd.(*fastEncoder).Encode
         0     0%   100%       50ms 15.62%  github.com/klauspost/compress/zstd.(*history).ensureBlock (inline)
         0     0%   100%       10ms  3.12%  github.com/klauspost/compress/zstd.(*sequenceDecs).decodeSync
         0     0%   100%       10ms  3.12%  github.com/klauspost/compress/zstd.(*sequenceDecs).decodeSyncSimple
         0     0%   100%       10ms  3.12%  github.com/klauspost/compress/zstd.decodeSyncAsm
         0     0%   100%       30ms  9.38%  github.com/klauspost/compress/zstd/internal/xxhash.(*Digest).Write
