File: tarutil.test
Build ID: 2fd17c118190307f1fb2567dd4d570913181cc0e
Type: cpu
Time: 2026-09-19 01:39:23 UTC
Duration: 147.21ms, Total samples = 80ms (54.35%)
Showing nodes accounting for 80ms, 100% of 80ms total
Showing top 30 nodes out of 69
      flat  flat%   sum%        cum   cum%
      60ms 75.00% 75.00%       60ms 75.00%  internal/runtime/syscall/linux.Syscall6
      10ms 12.50% 87.50%       10ms 12.50%  runtime.(*_panic).nextDefer
      10ms 12.50%   100%       10ms 12.50%  runtime.memmove
         0     0%   100%       10ms 12.50%  fmt.(*buffer).writeString (inline)
         0     0%   100%       10ms 12.50%  fmt.(*pp).doPrintf
         0     0%   100%       10ms 12.50%  fmt.Sprintf
         0     0%   100%       10ms 12.50%  github.com/agent-substrate/substrate/internal/tarutil.(*writerOnly).Write
         0     0%   100%       10ms 12.50%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkCreate
         0     0%   100%       60ms 75.00%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkExtract
         0     0%   100%       10ms 12.50%  github.com/agent-substrate/substrate/internal/tarutil.Create (inline)
         0     0%   100%       10ms 12.50%  github.com/agent-substrate/substrate/internal/tarutil.CreateFiltered
         0     0%   100%       40ms 50.00%  github.com/agent-substrate/substrate/internal/tarutil.Extract
         0     0%   100%       10ms 12.50%  github.com/agent-substrate/substrate/internal/tarutil.copyFileInto
         0     0%   100%       10ms 12.50%  github.com/agent-substrate/substrate/internal/tarutil.copyPooled
         0     0%   100%       40ms 50.00%  github.com/agent-substrate/substrate/internal/tarutil.extractEntry
         0     0%   100%       20ms 25.00%  github.com/agent-substrate/substrate/internal/tarutil.restoreMeta
         0     0%   100%       10ms 12.50%  github.com/agent-substrate/substrate/internal/tarutil.writeTree
         0     0%   100%       10ms 12.50%  github.com/agent-substrate/substrate/internal/tarutil.writeTree.func1
         0     0%   100%       10ms 12.50%  internal/poll.(*FD).Write
         0     0%   100%       10ms 12.50%  internal/poll.ignoringEINTRIO (inline)
         0     0%   100%       20ms 25.00%  internal/syscall/unix.Openat
         0     0%   100%       10ms 12.50%  internal/syscall/unix.Unlinkat
         0     0%   100%       10ms 12.50%  io.CopyBuffer
         0     0%   100%       10ms 12.50%  io.copyBuffer
         0     0%   100%       10ms 12.50%  os.(*File).Write
         0     0%   100%       10ms 12.50%  os.(*File).write (inline)
         0     0%   100%       20ms 25.00%  os.(*Root).Chmod (inline)
         0     0%   100%       10ms 12.50%  os.(*Root).OpenFile
         0     0%   100%       10ms 12.50%  os.Mkdir (inline)
         0     0%   100%       10ms 12.50%  os.Mkdir.func1 (inline)
